ID,DOB,Age,M_STATUS,SALARY,EDU_DATA,EMP_DATA,REL_ORIEN,FAV_TV,PREF_CAR,GENDER,FAV_CUIS,FAV_MUSIC,ENDU_LEVEL,FAV_SPORT,FAV_COLR,NEWS_SOURCE,DIST_FRM_COAST,MNTLY_TRAVEL,GEN_MOVIES,FAV_SUBJ,ALCOHOL,FAV_SUPERHERO,Dist_Coast,Class
4666,4/22/1967, 50 ,Unmarried,300k-500k,Graduate,Self-Employed,Believer,Friends,Toyota,Female,Italian,Rap,6 to 10,Basketball,Black,Fox News,0-10 KM,0-250 KM,Historical,Civics,Vodka,Ironman,761,y
4667,10/14/1968, 49 ,Divorced,300k-500k,Graduate,Self-Employed,Agnostic,Narcos,Audi,Male,Chinese,Classical,10 to 12,Swimming,Blue,Huffington Post,40-60 KM,250-500 KM,Action,Physics,Rum,wonder woman,459,y
4668,6/6/1992, 25 ,Unmarried,300k-500k,Post-Graduate,Employed,Believer,Narcos,Wolkswagen,Female,Italian,Hip-Hop,15-18,Basketball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Historical,History,Rum,The hulk,1282,x
4669,3/9/1966, 51 ,Unmarried,100k-300k,Uneducated,Unemployed,Believer,Prison Break,Suzuki,Male,Mexican,Rap,6 to 10,Basketball,Black,Fox News,10-25 KM,250-500 KM,Thriller,Biology,Whiskey,Thor,358,x
4670,5/3/1986, 31 ,Married,300k-500k,Graduate,Employed,Believer,Dexter,Audi,Male,Thai,Country,12 to 15,Rugby,Red,Huffington Post,40-60 KM,1000-1500 KM,Horror,Physics,Beer,spiderman,1251,y
4671,9/2/1968, 49 ,Married,0-100K,High-School,Self-Employed,Believer,Breaking Bad,GM,Male,Italian,Hip-Hop,15-18,Basketball,Blue,CNN,25-40 KM,250-500 KM,Thriller,Maths,Beer,Thor,755,x
4672,1/16/1995, 23 ,Unmarried,300k-500k,Post-Graduate,Self-Employed,Believer,Prison Break,Daimler-Benz,Male,Lebanese,Heavy Metal,3 to 5,Soccer,White,Fox News,10-25 KM,250-500 KM,Horror,Chemistry,Whiskey,spiderman,133,x
4673,3/30/1989, 28 ,Married,500k-700k,High-School,Employed,Atheist,Friends,BMW,Male,Lebanese,Heavy Metal,3 to 5,Rugby,Green,New York Times,10-25 KM,250-500 KM,Comedy,Art,Vodka,The hulk,567,y
4674,2/1/1984, 34 ,Unmarried,300k-500k,Post-Graduate,Unemployed,Agnostic,Prison Break,Daimler-Benz,Male,Thai,Heavy Metal,6 to 10,cycling,Black,Fox News,10-25 KM,250-500 KM,Historical,Civics,Whiskey,The hulk,954,y
4675,9/18/1974, 43 ,Unmarried,300k-500k,Graduate,Employed,Believer,Narcos,Audi,Male,Lebanese,Country,12 to 15,Soccer,Blue,CNN,25-40 KM,1000-1500 KM,Comedy,History,Rum,Thor,855,y
4676,10/13/1981, 36 ,Married,100k-300k,High-School,Employed,Agnostic,Friends,Ford,Male,Chinese,Heavy Metal,1 to 3,Cricket,Black,Fox News,10-25 KM,250-500 KM,Thriller,Biology,Beer,Thor,757,x
4677,10/4/1969, 48 ,Married,700k-1 Million,Graduate,Unemployed,Agnostic,Friends,Audi,Male,Mexican,Rap,6 to 10,Cricket,White,MSN,10-25 KM,250-500 KM,Historical,Civics,Beer,The hulk,1290,y
4678,7/27/1974, 43 ,Unmarried,100k-300k,High-School,Self-Employed,Believer,Narcos,Honda,Female,French,Rock,15-18,Soccer,Blue,Huffington Post,40-60 KM,1000-1500 KM,Thriller,Maths,Rum,Thor,1241,y
4679,11/30/1975, 42 ,Unmarried,300k-500k,High-School,Self-Employed,Believer,Breaking Bad,Toyota,Male,Lebanese,Country,12 to 15,Soccer,Red,CNN,25-40 KM,500-1000 KM,Horror,Economics,Beer,superman,1188,x
4680,3/25/1971, 46 ,Married,100k-300k,High-School,Self-Employed,Believer,Friends,Ford,Female,Mediterranean,Rap,6 to 10,Rugby,White,Fox News,25-40 KM,1500-2000 KM,Horror,Chemistry,Beer,spiderman,877,x
4681,3/11/1986, 31 ,Unmarried,100k-300k,High-School,Unemployed,Believer,Prison Break,Ford,Female,French,Rap,6 to 10,Soccer,White,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,Whiskey,spiderman,956,y
4682,3/16/1963, 54 ,Married,100k-300k,Uneducated,Employed,Agnostic,Big Bang Theory,Suzuki,Male,Lebanese,Country,12 to 15,Baseball,Red,Reuters,25-40 KM,500-1000 KM,Romantic,Commerce,Non Drinkers,Ironman,43,y
4683,9/30/1968, 49 ,Unmarried,0-100K,High-School,Self-Employed,Believer,Breaking Bad,Ford,Male,Lebanese,Country,12 to 15,Soccer,Blue,CNN,25-40 KM,250-500 KM,Comedy,History,Beer,Thor,497,x
4684,6/20/1973, 44 ,Married,0-100K,Graduate,Self-Employed,Atheist,Breaking Bad,GM,Male,Mexican,Hip-Hop,15-18,Baseball,Orange,Reuters,60-80 KM,1000-1500 KM,Thriller,Maths,wine,Thor,108,x
4685,7/13/1974, 43 ,Unmarried,500k-700k,High-School,Unemployed,Believer,Friends,Toyota,Male,Mexican,Rap,6 to 10,Basketball,Yellow,BBC,40-60 KM,2000+ KM,Comedy,Art,Beer,The hulk,1185,x
4686,12/7/1964, 53 ,Unmarried,500k-700k,Post-Graduate,Employed,Believer,Narcos,BMW,Female,French,Rock,15-18,Basketball,Blue,Huffington Post,40-60 KM,0-250 KM,Historical,History,Gin,The hulk,756,y
4687,3/1/1991, 27 ,Married,300k-500k,Graduate,Self-Employed,Believer,Narcos,Daimler-Benz,Female,French,Hip-Hop,15-18,Basketball,Red,Huffington Post,40-60 KM,1000-1500 KM,Historical,Commerce,Rum,Ironman,891,x
4688,7/13/1987, 30 ,Married,300k-500k,Post-Graduate,Unemployed,Atheist,sherlock,Audi,Female,Indian,Rap,6 to 10,Baseball,Yellow,BBC,10-25 KM,0-250 KM,Historical,Civics,Non Drinkers,Ironman,936,x
4689,8/6/1964, 53 ,Married,300k-500k,Post-Graduate,Self-Employed,Believer,Flash,Daimler-Benz,Female,Indian,Rap,6 to 10,Basketball,White,MSN,10-25 KM,250-500 KM,Comedy,Art,Rum,The hulk,1428,y
4690,10/6/1962, 55 ,Unmarried,300k-500k,Graduate,Employed,Believer,Prison Break,Daimler-Benz,Male,Mexican,Rap,6 to 10,Soccer,Yellow,BBC,25-40 KM,1000-1500 KM,Horror,Chemistry,Vodka,spiderman,1372,y
4691,9/2/1978, 39 ,Married,300k-500k,Graduate,Self-Employed,Believer,Dexter,Daimler-Benz,Male,Thai,Country,12 to 15,Basketball,Blue,Huffington Post,40-60 KM,0-250 KM,Historical,Commerce,Beer,The hulk,1059,y
4692,3/21/1966, 51 ,Unmarried,100k-300k,Graduate,Employed,Believer,How I Met your mother,Honda,Male,Mexican,Light Metal,6 to 10,Soccer,Yellow,BBC,10-25 KM,250-500 KM,Thriller,Biology,Non Drinkers,Thor,133,x
4693,7/31/1985, 32 ,Unmarried,300k-500k,High-School,Unemployed,Believer,Breaking Bad,Daimler-Benz,Male,Lebanese,Classical,12 to 15,Soccer,purple,Associated Press,0-10 KM,1500-2000 KM,Historical,Commerce,wine,The hulk,685,y
4694,8/28/1988, 29 ,Unmarried,100k-300k,Uneducated,Employed,Believer,Big Bang Theory,Honda,Male,Mexican,Hip-Hop,15-18,Basketball,Red,CNN,25-40 KM,250-500 KM,Drama,Physics,Non Drinkers,Batman,1067,x
4695,6/20/1976, 41 ,Unmarried,100k-300k,Graduate,Employed,Believer,Breaking Bad,Suzuki,Female,French,Hip-Hop,15-18,Basketball,Orange,Reuters,60-80 KM,1000-1500 KM,Horror,Economics,Beer,spiderman,72,x
4696,6/30/1971, 46 ,Married,100k-300k,High-School,Unemployed,Atheist,Breaking Bad,Suzuki,Female,French,Rock,15-18,Baseball,purple,Associated Press,10-25 KM,2000+ KM,Thriller,Maths,Beer,Thor,877,x
4697,9/29/1984, 33 ,Married,300k-500k,Post-Graduate,Employed,Agnostic,Narcos,Audi,Male,Lebanese,Country,12 to 15,Swimming,purple,Associated Press,0-10 KM,1500-2000 KM,Romantic,Commerce,Rum,Ironman,143,x
4698,7/22/1977, 40 ,Married,100k-300k,High-School,Employed,Agnostic,Dexter,Ford,Male,Thai,Country,12 to 15,Cricket,Red,Huffington Post,40-60 KM,500-1000 KM,Historical,Commerce,Beer,The hulk,44,x
4699,3/2/1975, 42 ,Unmarried,100k-300k,High-School,Employed,Believer,Narcos,Suzuki,Male,Lebanese,Classical,12 to 15,Soccer,purple,Associated Press,10-25 KM,1500-2000 KM,Drama,Physics,Gin,Batman,1325,x
4700,5/28/1977, 40 ,Married,300k-500k,Uneducated,Unemployed,Atheist,Breaking Bad,Audi,Female,French,Hip-Hop,15-18,Baseball,Red,CNN,25-40 KM,500-1000 KM,Horror,Physics,wine,spiderman,108,x
4701,12/16/1962, 55 ,Unmarried,100k-300k,Graduate,Unemployed,Believer,Narcos,Suzuki,Male,Mexican,Hip-Hop,15-18,Soccer,Orange,Reuters,60-80 KM,0-250 KM,Thriller,Maths,Non Drinkers,Thor,981,x
4702,1/13/1992, 26 ,Married,300k-500k,Uneducated,Employed,Believer,Breaking Bad,Ford,Male,Chinese,Classical,10 to 12,Rugby,Blue,Huffington Post,40-60 KM,250-500 KM,Action,Physics,Beer,wonder woman,974,x
4703,8/20/1991, 26 ,Married,300k-500k,High-School,Employed,Agnostic,Breaking Bad,Wolkswagen,Female,French,Rock,18-20,Cricket,Red,CNN,25-40 KM,1000-1500 KM,Historical,History,Beer,The hulk,494,x
4704,2/26/1983, 35 ,Married,300k-500k,High-School,Self-Employed,Believer,Breaking Bad,Ford,Male,Lebanese,Country,12 to 15,Basketball,Red,Huffington Post,40-60 KM,0-250 KM,Drama,Physics,Beer,Batman,1394,x
4705,1/7/1968, 50 ,Married,300k-500k,Post-Graduate,Unemployed,Believer,Friends,Wolkswagen,Female,French,Rap,6 to 10,Basketball,White,MSN,40-60 KM,2000+ KM,Romantic,English,Beer,Ironman,934,x
4706,4/14/1978, 39 ,Married,500k-700k,Post-Graduate,Employed,Agnostic,Game of Thrones,Toyota,Male,Mexican,Hip-Hop,15-18,Cricket,Red,Reuters,25-40 KM,0-250 KM,Thriller,Maths,Vodka,Thor,931,y
4707,9/8/1963, 54 ,Divorced,300k-500k,Uneducated,Unemployed,Agnostic,Narcos,Daimler-Benz,Male,Chinese,Classical,10 to 12,Swimming,purple,Associated Press,10-25 KM,2000+ KM,Historical,Commerce,Gin,Ironman,949,x
4708,5/22/1970, 47 ,Married,1M-2Million,Post-Graduate,Employed,Believer,Friends,Rolls Royce,Male,Chinese,Heavy Metal,1 to 3,Rugby,Green,New York Times,10-25 KM,250-500 KM,Drama,Chemistry,Vodka,Batman,1178,x
4709,9/2/1976, 41 ,Married,100k-300k,Post-Graduate,Unemployed,Atheist,Breaking Bad,Suzuki,Female,Italian,Hip-Hop,15-18,Baseball,Red,Reuters,25-40 KM,500-1000 KM,Historical,Commerce,Beer,The hulk,1191,y
4710,3/14/1988, 29 ,Married,100k-300k,High-School,Employed,Agnostic,Friends,Suzuki,Male,Chinese,Heavy Metal,1 to 3,Swimming,White,MSN,0-10 KM,0-250 KM,Thriller,Biology,Beer,Thor,1352,x
4711,5/21/1975, 42 ,Married,100k-300k,High-School,Employed,Believer,Dexter,Honda,Male,Lebanese,Country,12 to 15,Rugby,Red,CNN,25-40 KM,1000-1500 KM,Comedy,History,Beer,Thor,868,y
4712,1/12/1986, 32 ,Married,0-100K,Graduate,Self-Employed,Believer,Prison Break,GM,Male,Mexican,Rap,6 to 10,Basketball,White,MSN,0-10 KM,0-250 KM,Drama,Chemistry,Whiskey,Batman,397,x
4713,12/30/1960, 57 ,Married,0-100K,Uneducated,Employed,Believer,Prison Break,Ford,Female,Mediterranean,Rap,6 to 10,Rugby,White,Fox News,0-10 KM,0-250 KM,Romantic,English,Whiskey,Ironman,1029,y
4714,9/30/1969, 48 ,Married,300k-500k,Post-Graduate,Employed,Agnostic,Friends,Wolkswagen,Male,Mexican,Light Metal,6 to 10,Cricket,White,Fox News,10-25 KM,0-250 KM,Drama,Chemistry,Vodka,Batman,1303,y
4715,1/3/1976, 42 ,Married,100k-300k,Graduate,Employed,Agnostic,How I Met your mother,Suzuki,Female,Italian,Rap,6 to 10,Baseball,Green,New York Times,0-10 KM,0-250 KM,Horror,Chemistry,Non Drinkers,spiderman,97,y
4716,2/27/1984, 34 ,Married,100k-300k,Graduate,Self-Employed,Believer,Narcos,Suzuki,Female,French,Rock,15-18,Rugby,Red,CNN,25-40 KM,0-250 KM,Historical,Commerce,Rum,The hulk,348,y
4717,3/1/1973, 45 ,Married,300k-500k,High-School,Unemployed,Believer,Flash,Audi,Male,Mexican,Rap,6 to 10,Basketball,White,MSN,10-25 KM,250-500 KM,Drama,Chemistry,Rum,Batman,1112,x
4718,6/20/1978, 39 ,Unmarried,300k-500k,High-School,Self-Employed,Believer,Breaking Bad,Wolkswagen,Female,Indian,Rock,18-20,Soccer,Red,Reuters,60-80 KM,0-250 KM,Drama,Physics,Beer,Batman,590,y
4719,8/14/1966, 51 ,Married,0-100K,Uneducated,Unemployed,Believer,Narcos,Ford,Male,Thai,Country,12 to 15,Rugby,purple,Associated Press,10-25 KM,1500-2000 KM,Horror,Economics,Rum,superman,1041,x
4720,5/12/1967, 50 ,Unmarried,100k-300k,High-School,Self-Employed,Agnostic,Big Bang Theory,Suzuki,Male,Chinese,Classical,10 to 12,volleyball,Blue,Huffington Post,40-60 KM,500-1000 KM,Romantic,Commerce,Non Drinkers,Ironman,629,x
4721,11/26/1975, 42 ,Unmarried,300k-500k,Graduate,Employed,Believer,Narcos,Daimler-Benz,Female,Italian,Hip-Hop,15-18,Soccer,Red,Huffington Post,40-60 KM,1000-1500 KM,Drama,Physics,Rum,Batman,579,x
4722,6/9/1977, 40 ,Married,300k-500k,Post-Graduate,Unemployed,Believer,Friends,Daimler-Benz,Male,Mexican,Rap,6 to 10,Basketball,Yellow,BBC,0-10 KM,0-250 KM,Thriller,Biology,Vodka,Thor,374,x
4723,8/7/1970, 47 ,Married,500k-700k,Post-Graduate,Unemployed,Believer,Big Bang Theory,Toyota,Female,French,Rock,15-18,Basketball,Blue,CNN,40-60 KM,500-1000 KM,Action,Physics,Non Drinkers,wonder woman,102,y
4724,3/28/1979, 38 ,Unmarried,500k-700k,Graduate,Unemployed,Believer,Friends,BMW,Male,Lebanese,Heavy Metal,3 to 5,Soccer,White,MSN,0-10 KM,0-250 KM,Drama,Chemistry,Beer,Batman,930,x
4725,6/4/1964, 53 ,Unmarried,300k-500k,Graduate,Employed,Believer,Flash,Toyota,Male,Thai,Heavy Metal,6 to 10,Basketball,Black,New York Times,0-10 KM,0-250 KM,Thriller,Biology,Rum,Thor,101,y
4726,7/13/1961, 56 ,Unmarried,0-100K,Graduate,Self-Employed,Believer,Narcos,Ford,Female,Mediterranean,Rock,20+,Basketball,Red,CNN,25-40 KM,1000-1500 KM,Comedy,History,Rum,Thor,1127,y
4727,8/22/1984, 33 ,Unmarried,500k-700k,Post-Graduate,Unemployed,Believer,Breaking Bad,BMW,Female,Mediterranean,Rock,18-20,Soccer,Red,Huffington Post,40-60 KM,0-250 KM,Horror,Economics,Beer,spiderman,1333,x
4728,10/23/1976, 41 ,Married,1M-2Million,Post-Graduate,Self-Employed,Agnostic,Friends,Bently,Female,Mediterranean,Rap,6 to 10,Cricket,White,MSN,10-25 KM,0-250 KM,Horror,Chemistry,Vodka,spiderman,1049,x
4729,8/27/1994, 23 ,Unmarried,300k-500k,Graduate,Self-Employed,Believer,Prison Break,Audi,Female,Indian,Rap,6 to 10,Basketball,Green,New York Times,10-25 KM,0-250 KM,Drama,Chemistry,Whiskey,Batman,333,y
4730,10/31/1971, 46 ,Unmarried,0-100K,High-School,Employed,Believer,Game of Thrones,GM,Female,Italian,Hip-Hop,15-18,Soccer,Red,Reuters,25-40 KM,0-250 KM,Romantic,Commerce,Vodka,Ironman,1051,y
4731,1/31/1972, 46 ,Married,700k-1 Million,Graduate,Self-Employed,Believer,Narcos,Daimler -Benz,Female,Indian,Rock,18-20,Basketball,Orange,Reuters,60-80 KM,250-500 KM,Horror,Economics,Gin,superman,69,x
4732,6/26/1965, 52 ,Married,700k-1 Million,High-School,Self-Employed,Believer,Breaking Bad,Daimler -Benz,Female,French,Rock,15-18,Rugby,Red,CNN,25-40 KM,500-1000 KM,Thriller,Maths,Beer,Thor,341,x
4733,10/11/1972, 45 ,Married,300k-500k,Uneducated,Employed,Atheist,Breaking Bad,Daimler-Benz,Female,French,Hip-Hop,15-18,Rugby,Red,CNN,25-40 KM,250-500 KM,Drama,Physics,Beer,Batman,534,x
4734,1/24/1971, 47 ,Married,300k-500k,Uneducated,Self-Employed,Agnostic,Dexter,Daimler-Benz,Male,Chinese,Classical,10 to 12,Swimming,Blue,CNN,25-40 KM,0-250 KM,Drama,Physics,Beer,Batman,273,x
4735,10/6/1995, 22 ,Married,0-100K,Graduate,Employed,Atheist,Flash,Ford,Male,Chinese,Heavy Metal,3 to 5,Baseball,Yellow,BBC,40-60 KM,1500-2000 KM,Romantic,English,Rum,Ironman,777,x
4736,2/17/1979, 39 ,Married,0-100K,Uneducated,Employed,Believer,Breaking Bad,Ford,Male,Lebanese,Classical,12 to 15,Rugby,purple,Associated Press,10-25 KM,2000+ KM,Romantic,Commerce,Beer,Ironman,242,y
4737,12/4/1993, 24 ,Unmarried,300k-500k,High-School,Employed,Believer,How I Met your mother,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Soccer,Green,New York Times,60-80 KM,2000+ KM,Action,Biology,Non Drinkers,wonder woman,1410,x
4738,1/17/1960, 58 ,Married,0-100K,Post-Graduate,Employed,Believer,Friends,Ford,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Yellow,BBC,0-10 KM,0-250 KM,Action,Biology,Beer,wonder woman,348,y
4739,10/17/1981, 36 ,Married,300k-500k,Uneducated,Self-Employed,Agnostic,Friends,Wolkswagen,Female,Italian,Rap,6 to 10,Baseball,White,Fox News,40-60 KM,2000+ KM,Thriller,Biology,Beer,Thor,920,y
4740,9/25/1992, 25 ,Married,300k-500k,Post-Graduate,Self-Employed,Agnostic,Dexter,Daimler-Benz,Male,Thai,Country,12 to 15,Swimming,Blue,Huffington Post,40-60 KM,0-250 KM,Thriller,Maths,Vodka,Thor,423,y
4741,12/14/1964, 53 ,Married,300k-500k,Uneducated,Self-Employed,Agnostic,Narcos,Daimler-Benz,Male,Mexican,Hip-Hop,15-18,Cricket,purple,Associated Press,0-10 KM,1500-2000 KM,Drama,Physics,Gin,Batman,51,x
4742,4/2/1982, 35 ,Unmarried,100k-300k,Uneducated,Employed,Believer,Game of Thrones,Ford,Male,Chinese,Classical,10 to 12,Basketball,Red,Reuters,60-80 KM,0-250 KM,Drama,Physics,Vodka,spiderman,1006,x
4743,8/29/1969, 48 ,Unmarried,300k-500k,Post-Graduate,Unemployed,Agnostic,Prison Break,Ford,Male,Italian,Rap,6 to 10,cycling,Black,Fox News,60-80 KM,2000+ KM,Historical,Art,Whiskey,The hulk,1159,x
4744,12/25/1972, 45 ,Married,100k-300k,Graduate,Employed,Believer,Narcos,Suzuki,Male,Mexican,Hip-Hop,15-18,Rugby,Orange,Reuters,60-80 KM,1000-1500 KM,Comedy,History,Rum,The hulk,361,y
4745,6/7/1989, 28 ,Married,300k-500k,Uneducated,Unemployed,Atheist,Flash,Daimler-Benz,Female,Indian,Rap,6 to 10,Baseball,Green,New York Times,60-80 KM,2000+ KM,Horror,Chemistry,Rum,spiderman,575,x
4746,5/13/1978, 39 ,Married,100k-300k,High-School,Self-Employed,Believer,Friends,Suzuki,Male,Chinese,Heavy Metal,1 to 3,Basketball,Green,New York Times,40-60 KM,2000+ KM,Thriller,Art,Vodka,Thor,1050,y
4747,5/15/1960, 57 ,Divorced,300k-500k,Uneducated,Unemployed,Agnostic,Narcos,Daimler-Benz,Male,Lebanese,Classical,12 to 15,Swimming,Blue,CNN,25-40 KM,250-500 KM,Action,Physics,Non Drinkers,wonder woman,928,y
4748,5/13/1984, 33 ,Unmarried,300k-500k,Post-Graduate,Self-Employed,Believer,Breaking Bad,Daimler-Benz,Male,Mexican,Country,12 to 15,Basketball,Blue,CNN,25-40 KM,1000-1500 KM,Drama,Physics,Beer,Batman,1236,x
4749,1/17/1972, 46 ,Unmarried,300k-500k,Graduate,Employed,Believer,Friends,Wolkswagen,Male,Thai,Heavy Metal,6 to 10,Soccer,White,MSN,10-25 KM,250-500 KM,Thriller,Biology,Beer,Thor,1327,x
4750,3/22/1966, 51 ,Unmarried,1M-2Million,High-School,Employed,Believer,Friends,Bently,Female,Italian,Rap,6 to 10,Basketball,White,Fox News,10-25 KM,250-500 KM,Drama,Chemistry,Beer,Batman,748,y
4751,1/19/1964, 54 ,Married,100k-300k,Uneducated,Unemployed,Atheist,How I Met your mother,Ford,Male,Chinese,Heavy Metal,1 to 3,Rugby,White,Fox News,0-10 KM,0-250 KM,Thriller,Biology,Non Drinkers,Thor,1258,y
4752,12/19/1965, 52 ,Married,300k-500k,Graduate,Employed,Believer,Friends,Ford,Male,Chinese,Heavy Metal,3 to 5,Basketball,White,Fox News,10-25 KM,250-500 KM,Thriller,Biology,Vodka,Thor,1209,y
4753,7/19/1980, 37 ,Married,1M-2Million,Graduate,Self-Employed,Agnostic,Narcos,Rolls Royce,Male,Chinese,Classical,10 to 12,Baseball,Red,Reuters,60-80 KM,1000-1500 KM,Comedy,History,Rum,The hulk,1493,y
4754,7/2/1993, 24 ,Unmarried,300k-500k,High-School,Employed,Believer,Friends,Toyota,Male,Mexican,Rap,6 to 10,Soccer,Yellow,BBC,10-25 KM,0-250 KM,Horror,Chemistry,Beer,spiderman,340,x
4755,4/10/1964, 53 ,Married,500k-700k,Post-Graduate,Self-Employed,Atheist,Breaking Bad,BMW,Male,Thai,Country,12 to 15,Baseball,purple,Associated Press,60-80 KM,250-500 KM,Historical,History,wine,The hulk,230,y
4756,4/28/1986, 31 ,Married,300k-500k,Uneducated,Unemployed,Atheist,Narcos,Audi,Female,Italian,Hip-Hop,15-18,Rugby,Blue,CNN,25-40 KM,0-250 KM,Action,Physics,Rum,wonder woman,534,x
4757,9/29/1988, 29 ,Married,,Uneducated,Self-Employed,Believer,Prison Break,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Basketball,Black,New York Times,10-25 KM,0-250 KM,Horror,Chemistry,Whiskey,spiderman,1025,x
4758,9/25/1964, 53 ,Unmarried,100k-300k,High-School,Unemployed,Believer,Narcos,Ford,Male,Italian,Hip-Hop,15-18,Soccer,Blue,CNN,25-40 KM,500-1000 KM,Horror,Economics,Rum,spiderman,1281,y
4759,1/9/1992, 26 ,Unmarried,100k-300k,Post-Graduate,Self-Employed,Agnostic,How I Met your mother,Suzuki,Female,French,Rap,6 to 10,volleyball,Green,BBC,0-10 KM,0-250 KM,Drama,Chemistry,Non Drinkers,Batman,614,x
4760,12/19/1972, 45 ,Married,300k-500k,Post-Graduate,Self-Employed,Believer,How I Met your mother,Audi,,Chinese,Heavy Metal,1 to 3,Basketball,White,Fox News,10-25 KM,0-250 KM,Romantic,English,Non Drinkers,Ironman,1246,y
4761,10/1/1973, 44 ,Married,500k-700k,Uneducated,Self-Employed,Believer,Breaking Bad,BMW,Male,Thai,Country,12 to 15,Basketball,Blue,CNN,25-40 KM,0-250 KM,Horror,Physics,Beer,spiderman,239,y
4762,10/22/1988, 29 ,Married,300k-500k,Uneducated,Employed,Believer,Breaking Bad,Audi,Male,Mexican,Country,12 to 15,Basketball,Blue,CNN,25-40 KM,500-1000 KM,Comedy,Maths,wine,Thor,1200,x
4763,9/21/1988, 29 ,Married,300k-500k,Uneducated,Employed,Agnostic,Dexter,Ford,Female,Italian,Hip-Hop,15-18,Cricket,purple,Associated Press,10-25 KM,1500-2000 KM,Action,Physics,Beer,wonder woman,765,x
4764,11/14/1981, 36 ,Divorced,300k-500k,Graduate,Unemployed,Agnostic,Breaking Bad,Wolkswagen,Male,Thai,Country,12 to 15,Swimming,purple,Associated Press,10-25 KM,2000+ KM,Action,Physics,Beer,wonder woman,1194,x
4765,1/15/1991, 27 ,Married,500k-700k,Post-Graduate,Employed,Agnostic,Narcos,Daimler-Benz,Male,Lebanese,Country,12 to 15,Cricket,Blue,Huffington Post,40-60 KM,250-500 KM,Drama,Physics,Rum,wonder woman,1356,x
4766,4/30/1961, 56 ,Unmarried,0-100K,Graduate,Employed,Believer,Flash,Ford,Female,Indian,Rap,6 to 10,Basketball,Green,New York Times,60-80 KM,2000+ KM,Thriller,Biology,Rum,Thor,1455,x
4767,10/22/1991, 26 ,Married,100k-300k,Uneducated,Unemployed,Atheist,Friends,Ford,Male,Chinese,Heavy Metal,3 to 5,Rugby,Yellow,BBC,10-25 KM,0-250 KM,Romantic,English,Vodka,Ironman,140,y
4768,3/26/1984, 33 ,Married,500k-700k,Uneducated,Employed,Believer,Friends,BMW,Female,French,Rap,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Historical,Civics,Beer,The hulk,193,y
4769,9/7/1983, 34 ,Married,100k-300k,High-School,Self-Employed,Agnostic,Narcos,Suzuki,Female,Indian,Rock,18-20,Baseball,purple,Associated Press,10-25 KM,1500-2000 KM,Action,Physics,Rum,wonder woman,1203,y
4770,10/2/1981, 36 ,Unmarried,500k-700k,Graduate,Employed,Agnostic,How I Met your mother,BMW,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Yellow,BBC,40-60 KM,2000+ KM,Romantic,English,Non Drinkers,Ironman,714,x
4771,5/8/1979, 38 ,Unmarried,100k-300k,Graduate,Employed,Agnostic,Friends,Suzuki,Male,Mexican,Rap,6 to 10,cycling,Black,Fox News,40-60 KM,1500-2000 KM,Thriller,Biology,wine,Thor,1394,y
4772,4/24/1986, 31 ,Married,700k-1 Million,Post-Graduate,Self-Employed,Agnostic,Breaking Bad,Audi,Male,Thai,Country,12 to 15,Cricket,Red,Reuters,25-40 KM,1000-1500 KM,Horror,Physics,wine,spiderman,243,y
4773,10/13/1991, 26 ,Married,300k-500k,Post-Graduate,Unemployed,Agnostic,Big Bang Theory,Audi,Female,Mediterranean,Rock,20+,Cricket,Blue,Huffington Post,40-60 KM,500-1000 KM,Drama,Physics,Non Drinkers,Batman,1428,x
4774,12/6/1982, 35 ,Unmarried,700k-1 Million,Uneducated,Unemployed,Believer,Narcos,Audi,Male,Chinese,Classical,10 to 12,Basketball,purple,Associated Press,10-25 KM,2000+ KM,Comedy,History,Rum,The hulk,378,x
4775,9/12/1992, 25 ,Married,500k-700k,High-School,Unemployed,Believer,Prison Break,Toyota,Female,French,Rap,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Action,Biology,Whiskey,wonder woman,1315,x
4776,3/22/1992, 25 ,Married,0-100K,Uneducated,Employed,Atheist,Breaking Bad,Ford,Male,Italian,Hip-Hop,15-18,Baseball,purple,Associated Press,60-80 KM,500-1000 KM,Historical,History,wine,The hulk,423,y
4777,5/10/1962, 55 ,Unmarried,300k-500k,Post-Graduate,Self-Employed,Agnostic,Flash,Wolkswagen,Female,French,Rap,6 to 10,volleyball,Black,New York Times,10-25 KM,0-250 KM,Comedy,Art,wine,The hulk,1003,x
4778,4/1/1978, 39 ,Married,100k-300k,High-School,Unemployed,Believer,Friends,Ford,Male,Chinese,Heavy Metal,1 to 3,Basketball,Yellow,BBC,0-10 KM,0-250 KM,Comedy,Art,Vodka,The hulk,1029,y
4779,7/31/1976, 41 ,Divorced,300k-500k,Graduate,Self-Employed,Agnostic,Friends,Ford,Female,Italian,Rap,6 to 10,Swimming,Black,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,spiderman,670,y
