"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged","usd_pledged_real","usd_goal_real","date_diff"
"39445",1200566573,"Q - Inclusive, Human, Queer","Apps","Technology","USD","2015-06-03",25000,"2015-05-04 13:38:17",25566,1,161,"US",25566,25566,25000,29.4317476851852
"72699",1370043802,"Contact Management Software","Web","Technology","GBP","2015-02-26",500,"2015-01-27 23:17:35",4,0,4,"GB",6,6.18,772.19,29.0294560185185
"80593",1409818833,"Galumphing Gardener","Web","Journalism","USD","2016-03-11",500,"2016-02-10 20:05:19",6,0,2,"US",6,6,500,29.162974537037
"43316",122046798,"Meople","Apps","Technology","EUR","2017-02-12",4000,"2017-01-13 13:49:30",350,0,9,"FR",174.9,372.75,4259.99,29.4239583333333
"142237",1722763186,"Young Global Initiative","Web","Journalism","USD","2015-02-21",149,"2015-01-21 04:51:14",155,1,10,"US",155,155,149,30.7977546296296
"131646",1668127120,"I want to start a dating application with videos.","Web","Technology","USD","2016-04-21",4000,"2016-03-22 22:53:07",0,0,0,"US",0,0,4000,29.0464467592593
"355726",881932410,"Text Ya Later APP - Stops Texting and Driving","Apps","Technology","USD","2014-11-13",40000,"2014-10-14 23:46:27",620,0,9,"US",620,620,40000,29.0510763888889
"285115",520492364,"Simplify Business Technology Procurement","Web","Technology","USD","2016-12-31",50000,"2016-12-01 04:30:42",0,0,0,"US",0,0,50000,29.8120138888889
"46674",1237572668,"STEMlete","Web","Technology","USD","2015-05-14",20000,"2015-04-14 20:14:07",20,0,1,"US",20,20,20000,29.1568634259259
"48378",1246655235,"Mesolr","Apps","Technology","MXN","2017-04-22",20000,"2017-03-23 04:44:44",0,0,0,"MX",0,0,1053.52,29.8022685185185
"254057",361902090,"Golf Coach Direct (""GCD"")","Apps","Technology","USD","2016-01-15",18000,"2015-12-16 14:48:30",420,0,4,"US",420,420,18000,29.3829861111111
"312644",662518885,"Bitches Of Scottsdale and beyond...Surprise app of the year","Apps","Technology","USD","2014-08-12",20000,"2014-07-14 19:13:49",0,0,0,"US",0,0,20000,28.1987384259259
"355937",882975797,"Awhina : When you can help","Apps","Technology","NZD","2017-11-27",25000,"2017-10-28 08:27:40",0,0,0,"NZ",0,0,17126.81,29.6891203703704
"291013",550787247,"Assisting students with financial needs","Web","Technology","USD","2014-07-10",50000,"2014-06-10 01:46:10",1,0,1,"US",1,1,50000,29.9262731481481
"111552",1566766805,"Meal Monsters","Apps","Technology","GBP","2017-06-07",25000,"2017-05-08 16:21:27",3382,0,39,"GB",227.19,4312.9,31881.25,29.3184375
"357028",88880807,"Dads In Numbers","Apps","Technology","USD","2017-06-01",7850,"2017-05-02 04:28:05",5,0,1,"US",5,5,7850,29.8138310185185
"323415",717316028,"Snapsound | A social media platform to discover music","Apps","Technology","EUR","2016-12-31",50000,"2016-12-01 19:52:35",7030,0,4,"NL",21.27,7444.04,52944.79,29.1718171296296
"206053",2049678958,"NSPIR- Outdoor Adventure, Gear, Environment and Places","Web","Journalism","USD","2016-11-19",1300,"2016-10-20 02:40:21",251,0,4,"US",220,251,1300,29.9303125
"213698",2089013510,"Church Hive. Church hiring made easy!","Web","Technology","USD","2016-10-01",16800,"2016-09-01 23:24:23",101,0,2,"US",0,101,16800,29.0247337962963
"274674",467629132,"alphaOne Strategies","Web","Technology","USD","2017-05-13",42000,"2017-04-13 05:10:24",1,0,1,"US",0,1,42000,29.7844444444444
"622",100296818,"New Social Network","Web","Technology","GBP","2014-11-15",5000,"2014-10-16 00:10:16",0,0,0,"GB",0,0,7841.17,30.034537037037
"103177",1524520456,"HOBB-Sport experiences with Local passionates","Apps","Technology","EUR","2016-11-18",10000,"2016-10-19 19:22:47",1,0,1,"FR",0,1.06,10629.03,29.2341782407407
"106833",1542934255,"Mood eReader : Adds atmosphere to ebooks using video & sound","Apps","Technology","AUD","2015-06-28",49800,"2015-05-28 00:19:25",0,0,0,"AU",0,0,37471.78,30.9865162037037
"362543",917219915,"neomo - Network of Moms","Apps","Technology","EUR","2017-02-06",50000,"2017-01-07 21:39:52",15,0,1,"DE",15.87,15.94,53145.13,29.0973148148148
"310725",652780660,"BlurbSurfer.com","Web","Technology","USD","2014-09-06",1000,"2014-08-07 02:33:24",35,0,6,"US",35,35,1000,29.8934722222222
"249520",339111690,"Venue- Social Network","Apps","Technology","GBP","2016-02-22",5500,"2016-01-23 19:07:12",220,0,2,"GB",312.73,307.49,7687.25,29.2033333333333
"76557",1389622386,"Runnist | Social - Music - Running","Apps","Technology","EUR","2015-10-23",12000,"2015-09-23 12:38:23",0,0,0,"IT",0,0,13300.82,29.4733449074074
"106980",1543722402,"Leonard Nimoy Tribute App iOS/Android","Apps","Technology","USD","2015-04-16",10000,"2015-03-17 08:46:20",11,0,2,"US",11,11,10000,29.6344907407407
"82551",1419718747,"Senior Runs - the Web App- Movin' Lives Forward","Apps","Technology","USD","2017-12-01",6000,"2017-11-01 12:21:12",616,0,13,"US",445,616,6000,29.5269444444444
"350255",854352181,"Keep up the Studio for free Motorcycle News","Web","Journalism","USD","2015-05-29",3000,"2015-04-29 02:02:46",0,0,0,"US",0,0,3000,29.9147453703704
"100491",1510395313,"APPRENTICE PROGRAM: crowdsourced training for hero interns","Web","Technology","USD","2016-02-11",10000,"2016-01-12 09:19:22",12022,1,166,"US",12022,12022,10000,29.6115509259259
"298559",590432236,"The Complete Apple Watch Developer Course - Learn To Code","Apps","Technology","GBP","2014-12-19",5000,"2014-11-19 13:16:52",16746,1,780,"GB",26211.7,26204.11,7823.99,29.4466203703704
"263556",410233523,"SocialWorx","Web","Technology","GBP","2015-08-06",8000,"2015-07-07 08:41:08",0,0,0,"GB",0,0,12413.49,29.6381018518519
"363520",922186774,"Data Saver: The End Of All Data Overage Fees","Apps","Technology","USD","2015-09-04",14000,"2015-08-05 20:07:20",0,0,0,"US",0,0,14000,29.1615740740741
"288155",536143063,"Prepped!","Web","Journalism","GBP","2017-04-27",8000,"2017-03-28 18:00:25",101,0,3,"GB",125.27,130.69,10351.3,29.2497106481481
"32030",1162864426,"Souned.com","Apps","Technology","EUR","2015-03-25",30000,"2015-02-23 14:54:31",50,0,1,"NL",56.9,54.28,32567.99,29.3371412037037
"30720",1156280748,"VS Cricket - Grass Roots Cricket","Web","Technology","GBP","2015-09-30",25000,"2015-08-31 22:08:21",0,0,0,"GB",0,0,37917.85,29.0775347222222
"135996",1690574266,"EliteNote - A desktop and mobile app","Apps","Technology","USD","2016-07-29",3500,"2016-06-29 21:42:28",0,0,0,"US",0,0,3500,29.0955092592593
"2833",1014694874,"( BullyTube )","Web","Journalism","USD","2014-07-24",50000,"2014-06-24 05:41:26",10,0,1,"US",10,10,50000,29.7628935185185
"69443",1353437977,"Bad Idea","Web","Technology","GBP","2015-02-27",10000,"2015-01-28 08:02:00",10013,1,25,"GB",15117.7,15463.85,15443.78,29.6652777777778
"286872",529413584,"TinyDonation: Encouraging micro-donations using technology","Apps","Technology","USD","2017-01-14",20000,"2016-12-15 04:53:15",430,0,8,"US",0,430,20000,29.7963541666667
"58436",129718326,"My Turbulence App","Apps","Technology","USD","2015-03-04",25000,"2015-02-02 20:07:43",24,0,5,"US",24,24,25000,29.1613078703704
"211790",2079554332,"'Plantsify' app - Grow your plants, benefit your community","Apps","Technology","GBP","2016-11-17",15000,"2016-10-18 03:04:33",135,0,4,"GB",0,166.43,18492.04,29.9135069444444
"130632",1663228490,"Arresting Mobile App!  Know Your Rights!","Apps","Technology","USD","2014-08-14",50000,"2014-07-15 00:09:28",22,0,5,"US",22,22,50000,29.9934259259259
"205506",2046895795,"Recruit Me","Apps","Technology","GBP","2015-01-18",20000,"2014-12-19 07:12:12",20,0,1,"GB",31.18,29.97,29969.28,29.6998611111111
"329996",751378493,"Help us launch a live action fantasy sports application","Apps","Technology","USD","2015-10-23",5000,"2015-09-23 15:13:56",5115,1,30,"US",5115,5115,5000,29.3653240740741
"154677",1786419006,"Fat Rabbit Network","Apps","Technology","USD","2016-10-11",8000,"2016-09-11 06:55:42",0,0,0,"US",0,0,8000,29.7113194444444
"183510",1934244649,"Kill the Patent Troll","Apps","Technology","USD","2015-06-20",50000,"2015-05-21 18:33:36",12215,0,12,"US",12215,12215,50000,29.2266666666667
"201096",2023964817,"The MomCo App","Apps","Technology","USD","2014-10-09",25000,"2014-09-09 21:39:07",2026,0,40,"US",2026,2026,25000,29.0978356481481
"310569",651977934,"Easiest way to capture and share ideas : StitchMS","Apps","Technology","USD","2014-09-12",1000,"2014-08-13 02:21:11",11,0,2,"US",11,11,1000,29.9019560185185
"174542",1887628952,"bubblebump - meet real people. now.","Apps","Technology","CHF","2017-12-15",25000,"2017-11-15 23:36:45",10,0,1,"CH",0,10.12,25293.4,29.0161458333333
"215435",2097649242,"The WalkInJobSearch App","Apps","Technology","USD","2016-11-12",1000,"2016-10-13 12:29:45",0,0,0,"US",0,0,1000,29.5210069444444
"344540",82484686,"HARKALL - a NEW way to share the Gospel online","Web","Technology","SGD","2016-12-29",25000,"2016-11-29 16:01:23",4010,0,12,"SG",491.62,2774.7,17298.64,29.3323726851852
"121253",1615865808,"Church Social Network","Web","Technology","USD","2015-06-19",800,"2015-05-20 23:16:26",0,0,0,"US",0,0,800,29.0302546296296
"171085",187026075,"The Tom Bowl","Web","Technology","USD","2014-10-28",100,"2014-09-28 01:53:22",0,0,0,"US",0,0,100,29.9212731481481
"159636",1811760230,"Anything Texter for Android","Apps","Technology","USD","2015-09-17",1000,"2015-08-17 22:27:13",1,0,1,"US",1,1,1000,30.0644328703704
"267443",430657720,"HauntedPic - Create version for the Android platform!","Apps","Technology","USD","2016-10-11",7000,"2016-09-11 03:00:31",126,0,2,"US",125,126,7000,29.8746412037037
"61323",1311953140,"Hood Digest Goes Global","Web","Journalism","USD","2017-10-14",3000,"2017-09-14 22:18:09",3412,1,89,"US",150,3412,3000,29.0707291666667
"49545",1252524985,"The Sitcom App - never loose again your favorite sitcom","Apps","Technology","EUR","2015-08-10",18000,"2015-07-11 10:44:50",0,0,0,"IT",0,0,20107.69,29.5521990740741
"18714",1094846929,"Roomer Mil LLP- Roommate Matchmaking for Military","Web","Technology","USD","2015-05-06",500,"2015-04-06 22:03:31",650,1,3,"US",650,650,500,29.0808912037037
"173745",1883560371,"Allo gardienne","Apps","Technology","CAD","2017-03-15",30000,"2017-02-13 19:56:07",0,0,0,"CA",0,0,22530.98,29.1276967592593
"153259",1778904208,"GROOGR","Web","Technology","CAD","2016-04-06",50000,"2016-03-07 21:34:34",0,0,0,"CA",0,0,38232.15,29.0593287037037
"347679",841109141,"Yokeconnect","Web","Technology","GBP","2016-01-03",25000,"2015-12-04 14:29:20",150,0,3,"GB",223.93,218.62,36436.77,29.3962962962963
"309152",64476921,"BudgetPlan - Budget Like a Boss!","Apps","Technology","USD","2017-01-20",5000,"2016-12-21 18:27:27",6440.44,1,155,"US",15.44,6440.44,5000,29.2309375
"320325",701245986,"WordPress theme development tutorial","Web","Technology","USD","2015-12-25",500,"2015-11-25 08:08:16",1,0,1,"US",1,1,500,29.6609259259259
"59533",1302705251,"Trumani Webkit - Online Services & Resources","Web","Technology","USD","2015-04-22",750,"2015-03-23 22:02:29",0,0,0,"US",0,0,750,29.0816087962963
"175562",1892903733,"Let's Clean Up Canada's Climate and Energy Debate","Web","Journalism","CAD","2014-10-13",50000,"2014-09-13 00:42:10",51548,1,259,"CA",47034.26,45853.05,44476.07,29.9707175925926
"292570",55895128,"Award myCRED points for LearnDash activities!","Web","Technology","USD","2016-05-29",1200,"2016-04-29 23:04:20",1,0,1,"US",1,1,1200,29.0386574074074
"348395",845005337,"BiPlace","Apps","Technology","USD","2015-12-07",15000,"2015-11-07 15:26:05",0,0,0,"US",0,0,15000,29.3568865740741
"8666",1043743887,"The Judge","Apps","Technology","USD","2016-07-30",1000,"2016-06-30 02:03:47",0,0,0,"US",0,0,1000,29.9140393518519
"368778",948868150,"623unlimited.com","Web","Technology","USD","2014-12-22",13000,"2014-11-22 02:24:59",0,0,0,"US",0,0,13000,29.8993171296296
"33008",1167688946,"Gudwill - Environmental Action Online Resource & Community","Web","Technology","CAD","2015-11-18",39298,"2015-10-19 19:35:56",641,0,6,"CA",496.34,481.48,29518.52,29.2250462962963
"344633",825374779,"Help make Visual Diff Search accessible to the masses","Web","Technology","USD","2017-09-02",15000,"2017-08-03 02:16:21",70,0,2,"US",70,70,15000,29.9053125
"135713",1689061563,"Roote: the first location services social media app","Apps","Technology","USD","2015-04-08",6000,"2015-03-08 23:02:57",100,0,1,"US",100,100,6000,30.0396180555556
"216909",2104949124,"Objective Zero App - Fighting Veteran, Military Suicide","Apps","Technology","USD","2017-01-25",35000,"2016-12-26 17:35:17",38000,1,235,"US",18300,38000,35000,29.2671643518519
"169711",1863392551,"Event Counter/Tracker App for Android","Apps","Technology","USD","2017-05-11",27,"2017-04-11 16:34:49",0,0,0,"US",0,0,27,29.3091550925926
"217792",210941936,"Social Network Web Project","Web","Technology","GBP","2015-04-08",500,"2015-03-09 19:59:33",0,0,0,"GB",0,0,729.56,29.1669791666667
"233351",256014866,"Hop Aboard","Apps","Technology","USD","2015-03-08",20000,"2015-02-06 20:02:38",2,0,2,"US",2,2,20000,29.164837962963
"28805",1146251122,"Doll Me Up","Apps","Technology","USD","2016-05-05",1700,"2016-04-05 17:30:02",1,0,1,"US",1,1,1700,29.2708101851852
"176664",1898632900,"Forum Helping to Understand Russia","Web","Technology","DKK","2015-04-03",5000,"2015-03-04 20:05:53",5,0,1,"DK",0.75,0.71,707.34,29.1209143518519
"208738",206368060,"Help The World","Apps","Technology","EUR","2016-01-02",10000,"2015-12-03 18:07:40",0,0,0,"DE",0,0,10860.95,29.2446759259259
"133203",1676089131,"The Instant Contractor","Apps","Technology","USD","2016-12-31",50000,"2016-12-01 16:36:41",20,0,2,"US",0,20,50000,29.3078587962963
"176233",1896433205,"Good Karma Tracker","Web","Technology","USD","2014-11-05",3500,"2014-10-06 22:08:06",616,0,24,"US",616,616,3500,29.119375
"108770",1552943774,"TargetScan App for Android","Apps","Technology","GBP","2015-08-06",3000,"2015-07-07 23:40:41",3018,1,114,"GB",4696.06,4682.99,4655.06,29.0134143518519
"378620",999780798,"Green City Times","Web","Journalism","USD","2016-08-28",5000,"2016-07-29 05:27:43",11,0,3,"US",0,11,5000,29.7724189814815
"307176",63454409,"TheDailyApps","Apps","Technology","EUR","2016-06-19",5000,"2016-05-20 10:14:29",10,0,1,"ES",11.25,11.07,5532.99,29.573275462963
"130014",1660096777,"Rechtenkrom (Crooked Rights)","Web","Technology","EUR","2014-10-16",8000,"2014-09-16 13:27:03",0,0,0,"NL",0,0,10258.38,29.4395486111111
"273817",463133291,"EMN JUNKY - Needs Your Help","Apps","Technology","GBP","2015-12-16",1000,"2015-11-16 20:55:47",0,0,0,"GB",0,0,1491.2,29.1279282407407
"295730",57521333,"Blockchain Democracy: Voting Matters Online Now","Apps","Technology","CAD","2016-12-19",10000,"2016-11-19 11:07:59",0,0,0,"CA",0,0,7399.73,29.5361226851852
"236040",269951576,"Advanced Anthropometry Calculation Software","Apps","Technology","EUR","2016-10-08",1200,"2016-09-08 20:20:19",35,0,2,"ES",0,38.51,1320.23,29.1525578703704
"7442",1037670307,"Collaborative News on Africa","Web","Journalism","GBP","2015-01-21",10000,"2014-12-22 23:44:05",47,0,8,"GB",73.44,70.43,14984.64,29.0110532407407
"242814",304887874,"MySocialStock.com","Web","Technology","USD","2014-11-16",7500,"2014-10-17 15:54:39",0,0,0,"US",0,0,7500,29.3787152777778
"251867",350943538,"Forget Them Not!","Apps","Technology","USD","2016-02-19",25000,"2016-01-20 03:12:42",1,0,1,"US",1,1,25000,29.8661805555556
"14838",1074732822,"Blab Telecom: Intelligent Communication in a unique App","Apps","Technology","GBP","2014-11-14",10000,"2014-10-15 19:42:17",10,0,2,"GB",16.07,15.65,15654.6,29.2206365740741
"107635",1547311051,"FacebookNemesis.com aka GottaComment.com","Web","Technology","USD","2014-09-07",5000,"2014-08-08 19:17:04",0,0,0,"US",0,0,5000,29.1964814814815
"285705",523381634,"Unleashed Fitness","Web","Technology","USD","2016-04-16",25000,"2016-03-17 19:43:26",26,0,2,"US",26,26,25000,29.1781712962963
"191782",1975798694,"Trace","Apps","Technology","GBP","2015-07-04",1000,"2015-06-04 21:22:28",480,0,13,"GB",736.78,744.84,1551.76,29.1093981481481
"148332",1753953673,"New Marketplace Website. Buy, Sell, and Promote items","Apps","Technology","USD","2015-03-25",50000,"2015-02-24 00:32:16",0,0,0,"US",0,0,50000,28.9359259259259
"329816",750411957,"Tired of Facebook and Twitter - Try Hyntster","Apps","Technology","USD","2014-09-12",3500,"2014-08-13 15:23:09",375,0,7,"US",375,375,3500,29.3589236111111
"308502",641352722,"TheArtistPost.com","Web","Technology","USD","2015-02-14",3500,"2015-01-15 22:48:33",30,0,1,"US",30,30,3500,29.0496180555556
"211552",2078211061,"College Chipmunk: Conquer Student Loans One Cent at a Time","Apps","Technology","USD","2016-03-27",12000,"2016-02-25 19:50:53",468,0,12,"US",468,468,12000,30.1313310185185
"4562",1023311842,"Hybrid Waterfall-Agile Scrum Planning","Web","Technology","USD","2014-09-06",13000,"2014-08-07 21:15:36",955,0,13,"US",955,955,13000,29.1141666666667
"255610",369783094,"Bears United - Global Dating Network for the Bears Community","Web","Technology","EUR","2017-12-14",10000,"2017-11-14 16:05:32",150,0,3,"DE",145.63,177.09,11805.96,29.3294907407407
"305771",627041047,"Arti: An app to discover local art and support local artists","Apps","Technology","AUD","2014-12-12",50000,"2014-11-14 02:03:29",2258.03,0,35,"AU",1961.72,1867.22,41346.23,27.9142476851852
"253558",359517992,"Mr Mentor - The only language learning App you'll ever need!","Apps","Technology","EUR","2016-07-09",30000,"2016-06-09 06:59:12",1475,0,21,"BE",1676.97,1641.39,33384.15,29.7088888888889
"349926",852733187,"Learn JavaScript with Eric Elliott & Fight Poverty with Code","Web","Technology","USD","2014-07-25",7500,"2014-06-25 18:24:36",18773.6,1,210,"US",18773.6,18773.6,7500,29.2329166666667
"363375",921433293,"DukaMart - Never Pay a Dime for Referral Fees Again!","Web","Technology","CAD","2017-10-20",3000,"2017-09-20 13:49:19",448,0,10,"CA",0,358.57,2401.15,29.4240856481481
"68002",1346092952,"INYOUREYES.TV","Web","Technology","USD","2015-12-11",8000,"2015-11-11 18:42:24",50,0,1,"US",50,50,8000,29.2205555555556
"75878",1386427628,"Bidbord, a website connecting people with businesses","Web","Technology","CAD","2015-02-07",800,"2015-01-08 03:22:12",0,0,0,"CA",0,0,639.59,29.8595833333333
"233386",256212874,"Brailliant","Apps","Technology","USD","2016-06-26",35000,"2016-05-27 20:19:33",1,0,1,"US",1,1,35000,29.1530902777778
"356951",888410320,"ClicknGet: shopping, eating and lifestyle in your area","Apps","Technology","EUR","2017-06-30",50000,"2017-05-31 17:02:56",20,0,1,"DE",22.25,22.82,57060.04,29.2896296296296
"227972",229171863,"Fanlys - Group Messaging for Sports","Web","Technology","USD","2017-07-28",5000,"2017-06-28 21:24:58",0,0,0,"US",0,0,5000,29.107662037037
"301930",607479334,"iSpotOne","Apps","Technology","USD","2015-10-14",10000,"2015-09-14 18:37:23",10,0,2,"US",10,10,10000,29.2240393518519
"146690",1745269104,"Funda Nathi","Apps","Technology","USD","2016-07-08",5000,"2016-06-08 17:44:13",51,0,2,"US",50,51,5000,29.2609606481481
"22439",1113815049,"Sportsmen's Connect","Apps","Technology","USD","2017-09-29",45000,"2017-08-30 20:53:42",200,0,3,"US",0,200,45000,29.129375
"56767",1288806275,"Dubtrack.FM: Share and discover music, together","Web","Technology","USD","2016-10-22",40000,"2016-09-22 20:10:01",1,0,1,"US",0,1,40000,29.1597106481481
"238810",284323846,"Codemurai - App to Learn Programming","Apps","Technology","AUD","2016-03-11",20000,"2016-02-10 16:25:31",22577,1,392,"AU",15877.62,16956.06,15020.65,29.3156134259259
"221405",2127809,"MyForesome - The Golf App for Golfers","Apps","Technology","USD","2014-10-01",25000,"2014-09-01 09:02:13",3090,0,32,"US",3090,3090,25000,29.6234606481481
"56118",1285540153,"Dating Mobile App for People and Pets - Android and Iphone","Apps","Technology","USD","2014-08-27",19500,"2014-07-28 17:23:55",2,0,2,"US",2,2,19500,29.2750578703704
"104196",1529724690,"ZiaHub","Apps","Technology","USD","2017-03-06",5000,"2017-02-04 17:56:51",0,0,0,"US",0,0,5000,29.2521875
"335194",777564798,"HausCall: The On-the-Go Grooming Service App","Apps","Technology","USD","2016-05-10",20000,"2016-04-10 22:44:08",1071,0,22,"US",1071,1071,20000,29.0526851851852
"115064",1584375440,"Game Swapper","Web","Technology","USD","2015-08-09",10000,"2015-07-10 22:12:39",0,0,0,"US",0,0,10000,29.0745486111111
"208995",206506710,"Ask A Pharmacist App","Apps","Technology","USD","2015-06-12",15000,"2015-05-13 19:49:50",50,0,1,"US",50,50,15000,29.1737268518519
"50435",1256854070,"rinfou","Apps","Technology","USD","2015-01-18",10000,"2014-12-17 20:15:17",25,0,1,"US",25,25,10000,31.1560532407407
"336915",786031316,"Finapple","Apps","Technology","CAD","2016-11-05",50000,"2016-10-06 16:10:40",0,0,0,"CA",0,0,37061.74,29.3259259259259
"301254",604002501,"The Next Big Idea!","Apps","Technology","USD","2015-07-17",3000,"2015-06-17 21:11:03",0,0,0,"US",0,0,3000,29.1173263888889
"52400",1266601490,"Blogging from Norway as exchange student - Equipment needed","Web","Journalism","EUR","2017-07-12",800,"2017-06-12 15:25:18",0,0,0,"DE",0,0,913.2,29.3574305555556
"300346",599367325,"Communitrainer App","Apps","Technology","GBP","2017-01-26",20000,"2016-12-27 22:50:14",0,0,0,"GB",0,0,25081.51,29.0484490740741
"135520",1688164673,"shudB","Apps","Technology","USD","2017-11-13",3000,"2017-10-14 05:48:47",90,0,1,"US",0,90,3000,29.7994560185185
"64880",1329888335,"DormMe™ Company & App","Apps","Technology","USD","2015-07-31",5000,"2015-07-01 17:47:38",0,0,0,"US",0,0,5000,29.258587962963
"376101",986920509,"News Jews Can Use / JBizTechValley.com","Web","Journalism","USD","2015-02-01",20000,"2015-01-02 06:18:02",309,0,10,"US",309,309,20000,29.7374768518519
"290342",547257810,"XIKIXI: An easy way to buy everywhere from anywhere.","Apps","Technology","EUR","2015-08-19",12000,"2015-07-20 16:55:14",5,0,1,"ES",5.41,5.64,13537.14,29.2949768518519
"343901",821777960,"Fresher Beauty: healthier lifestyle portal","Web","Journalism","GBP","2014-09-25",1000,"2014-08-26 23:38:03",0,0,0,"GB",0,0,1630.84,29.0152430555556
"295879",576040458,"ChetuBus","Apps","Technology","MXN","2017-06-23",20000,"2017-05-24 23:42:45",520,0,3,"MX",26.76,28.82,1108.34,29.0119791666667
"63562",1323255366,"WeGame","Web","Technology","USD","2015-07-31",2000,"2015-07-01 15:29:50",0,0,0,"US",0,0,2000,29.3542824074074
"153744",1781522341,"GET FIT. GET PAID. with the Fitpotato App","Apps","Technology","AUD","2015-08-06",18600,"2015-07-07 11:05:52",5029,0,31,"AU",3768.98,3715.55,13742.15,29.5375925925926
"208182",2060955662,"The Gamer Gazette","Web","Journalism","GBP","2014-08-14",7500,"2014-07-14 22:00:59",11,0,3,"GB",18.83,18.36,12517.52,30.082650462963
"243338",307508065,"Hia, The App for everyone Here","Apps","Technology","USD","2017-07-13",2000,"2017-06-13 19:57:25",341,0,11,"US",260,341,2000,29.1684606481481
"209008",2065100742,"Party Kings","Apps","Technology","USD","2016-07-22",15000,"2016-06-22 19:36:46",0,0,0,"US",0,0,15000,29.1828009259259
"133570",1677827044,"Yakaba - Online Video Networking For Professionals","Web","Technology","EUR","2015-03-06",50000,"2015-02-04 10:48:08",23,0,5,"NL",26.07,25.21,54814.94,29.5499074074074
"104550",1531420448,"Digimeal","Apps","Technology","GBP","2016-09-05",12000,"2016-08-06 11:48:17",20,0,1,"GB",0,26.65,15990.83,29.5081365740741
"336241",782730314,"Vizavoo Beauty on Demand App","Apps","Technology","USD","2015-09-20",40000,"2015-08-21 23:56:10",1370,0,7,"US",1370,1370,40000,29.002662037037
"150745",1766029188,"CountryKids.com - Teaching kids about farming & agriculture","Web","Technology","USD","2017-07-12",6000,"2017-06-12 18:26:59",0,0,0,"US",0,0,6000,29.2312615740741
"245436",318299751,"Help to create ""Kalab"" the new way to social media","Apps","Technology","USD","2015-09-17",25000,"2015-08-18 21:52:26",0,0,0,"US",0,0,25000,29.088587962963
"313877",668539825,"Decider Phone App","Apps","Technology","USD","2015-07-10",50000,"2015-06-10 03:38:59",200,0,1,"US",200,200,50000,29.8479282407407
"79462",140424549,"KATCHY ME IF U CAN !","Web","Technology","EUR","2015-12-03",35000,"2015-11-03 16:47:07",279,0,22,"FR",307.74,304.17,38157.12,29.3006134259259
"143860",1730812717,"ITSupportUK","Web","Technology","GBP","2015-03-29",5000,"2015-02-27 21:49:31",0,0,0,"GB",0,0,7401.6,29.0489467592593
"278372",486249543,"Comfort Food Relaxation and Meditation Audio App","Apps","Technology","USD","2015-12-30",2400,"2015-11-30 09:26:02",562,0,26,"US",562,562,2400,29.6069212962963
"189473",1964234052,"Book Of Life – An Amazing Adventure: Your Own Life!","Apps","Technology","EUR","2016-10-22",15000,"2016-09-22 19:11:33",636,0,14,"DE",708.31,694.64,16383.06,29.2003125
"82272",1418301238,"New Media by Vladimir Yakovlev. MULBABAR.","Web","Journalism","USD","2015-04-09",50000,"2015-03-10 08:36:52",51162,1,522,"US",51162,51162,50000,29.6410648148148
"199631",2016583744,"Local Social","Apps","Technology","USD","2016-03-30",20000,"2016-02-29 17:48:09",11,0,2,"US",11,11,20000,29.2165625
"148681",1755766380,"Storm Chasing To The New Level","Web","Journalism","USD","2016-11-26",3000,"2016-10-27 18:40:52",0,0,0,"US",0,0,3000,29.263287037037
"372709",96936720,"logtempo.io - simple, pragmatic time tracking and invoicing","Web","Technology","GBP","2014-09-24",50000,"2014-08-25 01:06:29",160,0,7,"GB",265.17,260.93,81542.12,29.9538310185185
"111168",1564838186,"Transit App for iOS 6 and Beyond","Apps","Technology","USD","2012-08-18",25000,"2012-07-19 22:01:10",26280.08,1,838,"US",26280.08,26280.08,25000,29.0825231481481
"21618",1109604890,"Workout Buddyz","Web","Technology","CAD","2014-09-26",15000,"2014-08-27 17:25:30",0,0,0,"CA",0,0,13498.92,29.2739583333333
"11161",1056020695,"The Social Way To Get A Job. Making Employment Human","Web","Technology","GBP","2015-12-11",16000,"2015-11-11 20:14:55",16687,1,133,"GB",25219.75,25293.68,24252.35,29.1563078703704
"88063",1447692039,"Help Grow The Clyde Fitch Report","Web","Journalism","USD","2015-04-24",19000,"2015-03-25 01:01:32",19356,1,200,"US",19356,19356,19000,29.9572685185185
"272403",455985659,"In flight emergency checklist for Airbus EC135 helicopter","Apps","Technology","GBP","2015-06-13",50000,"2015-05-14 21:44:55",1,0,1,"GB",1.57,1.58,79191.61,29.0938078703704
"323256",716527707,"Weights N' Dates, The App For Fitness Driven Singles","Apps","Technology","USD","2016-09-08",50000,"2016-08-09 18:37:48",762,0,9,"US",522,762,50000,29.22375
"346166",833294344,"CottageBiz - Web Portal/Directory for Home Based Businesses","Web","Technology","USD","2017-03-08",5000,"2017-02-06 17:19:32",0,0,0,"US",0,0,5000,29.2781018518519
"363810",923616161,"PageGulp - Screen Capture and Viewer.","Web","Technology","USD","2016-07-03",1750,"2016-06-03 23:31:13",1,0,1,"US",1,1,1750,29.0199884259259
"355291",879833888,"Make An Offer Application","Web","Technology","USD","2015-06-20",42000,"2015-05-21 20:40:52",0,0,0,"US",0,0,42000,29.138287037037
"362536",917184907,"Generocity","Apps","Technology","USD","2014-07-15",20000,"2014-06-15 13:45:29",1,0,1,"US",1,1,20000,29.4267476851852
