country,year,sex,age,suicides_no,population, gdp_for_year ($) ,gdp_per_capita ($),generation
Antigua and Barbuda,1993,female,55-74 years,0,3662,"535,172,778",8453,Silent
Antigua and Barbuda,1993,female,75+ years,0,1386,"535,172,778",8453,G.I. Generation
Antigua and Barbuda,1993,male,15-24 years,0,6069,"535,172,778",8453,Generation X
Antigua and Barbuda,1993,male,35-54 years,0,6915,"535,172,778",8453,Boomers
Antigua and Barbuda,1993,male,5-14 years,0,7298,"535,172,778",8453,Millenials
Antigua and Barbuda,1993,male,55-74 years,0,2879,"535,172,778",8453,Silent
Antigua and Barbuda,1993,male,75+ years,0,896,"535,172,778",8453,G.I. Generation
Antigua and Barbuda,1994,female,15-24 years,0,6083,"589,429,593",9062,Generation X
Antigua and Barbuda,1994,female,25-34 years,0,7151,"589,429,593",9062,Boomers
Antigua and Barbuda,1994,female,35-54 years,0,7357,"589,429,593",9062,Boomers
Antigua and Barbuda,1994,female,5-14 years,0,7722,"589,429,593",9062,Millenials
Antigua and Barbuda,1994,female,55-74 years,0,3715,"589,429,593",9062,Silent
Antigua and Barbuda,1994,female,75+ years,0,1437,"589,429,593",9062,G.I. Generation
Antigua and Barbuda,1994,male,15-24 years,0,5976,"589,429,593",9062,Generation X
Antigua and Barbuda,1994,male,25-34 years,0,6886,"589,429,593",9062,Boomers
Antigua and Barbuda,1994,male,35-54 years,0,7359,"589,429,593",9062,Boomers
Antigua and Barbuda,1994,male,5-14 years,0,7494,"589,429,593",9062,Millenials
Antigua and Barbuda,1994,male,55-74 years,0,2935,"589,429,593",9062,Silent
Antigua and Barbuda,1994,male,75+ years,0,929,"589,429,593",9062,G.I. Generation
Antigua and Barbuda,1995,female,15-24 years,0,6099,"577,280,741",8636,Generation X
Antigua and Barbuda,1995,female,25-34 years,0,7333,"577,280,741",8636,Generation X
Antigua and Barbuda,1995,female,35-54 years,0,7851,"577,280,741",8636,Boomers
Antigua and Barbuda,1995,female,5-14 years,0,7885,"577,280,741",8636,Millenials
Antigua and Barbuda,1995,female,55-74 years,0,3808,"577,280,741",8636,Silent
Antigua and Barbuda,1995,female,75+ years,0,1488,"577,280,741",8636,G.I. Generation
Antigua and Barbuda,1995,male,15-24 years,0,5953,"577,280,741",8636,Generation X
Antigua and Barbuda,1995,male,25-34 years,0,7023,"577,280,741",8636,Generation X
Antigua and Barbuda,1995,male,35-54 years,0,7809,"577,280,741",8636,Boomers
Antigua and Barbuda,1995,male,5-14 years,0,7632,"577,280,741",8636,Millenials
Antigua and Barbuda,1995,male,55-74 years,0,3021,"577,280,741",8636,Silent
Antigua and Barbuda,1995,male,75+ years,0,944,"577,280,741",8636,G.I. Generation
Antigua and Barbuda,1998,female,15-24 years,0,6529,"727,860,593",10078,Generation X
Antigua and Barbuda,1998,female,25-34 years,0,8332,"727,860,593",10078,Generation X
Antigua and Barbuda,1998,female,35-54 years,0,9615,"727,860,593",10078,Boomers
Antigua and Barbuda,1998,female,5-14 years,0,8183,"727,860,593",10078,Millenials
Antigua and Barbuda,1998,female,55-74 years,0,3921,"727,860,593",10078,Silent
Antigua and Barbuda,1998,female,75+ years,0,1476,"727,860,593",10078,G.I. Generation
Antigua and Barbuda,1998,male,15-24 years,0,5916,"727,860,593",10078,Generation X
Antigua and Barbuda,1998,male,25-34 years,0,7294,"727,860,593",10078,Generation X
Antigua and Barbuda,1998,male,35-54 years,0,9086,"727,860,593",10078,Boomers
Antigua and Barbuda,1998,male,5-14 years,0,7706,"727,860,593",10078,Millenials
Antigua and Barbuda,1998,male,55-74 years,0,3213,"727,860,593",10078,Silent
Antigua and Barbuda,1998,male,75+ years,0,954,"727,860,593",10078,G.I. Generation
Antigua and Barbuda,1999,female,15-24 years,0,6589,"766,198,926",10378,Generation X
Antigua and Barbuda,1999,female,25-34 years,0,8526,"766,198,926",10378,Generation X
Antigua and Barbuda,1999,female,35-54 years,0,10311,"766,198,926",10378,Boomers
Antigua and Barbuda,1999,female,5-14 years,0,8314,"766,198,926",10378,Millenials
Antigua and Barbuda,1999,female,55-74 years,0,3968,"766,198,926",10378,Silent
Antigua and Barbuda,1999,female,75+ years,0,1451,"766,198,926",10378,G.I. Generation
Antigua and Barbuda,1999,male,15-24 years,0,5845,"766,198,926",10378,Generation X
Antigua and Barbuda,1999,male,25-34 years,0,7263,"766,198,926",10378,Generation X
Antigua and Barbuda,1999,male,35-54 years,0,9537,"766,198,926",10378,Boomers
Antigua and Barbuda,1999,male,5-14 years,0,7805,"766,198,926",10378,Millenials
Antigua and Barbuda,1999,male,55-74 years,0,3276,"766,198,926",10378,Silent
Antigua and Barbuda,1999,male,75+ years,0,947,"766,198,926",10378,G.I. Generation
Antigua and Barbuda,2000,male,55-74 years,1,3333,"830,158,778",11021,Silent
Antigua and Barbuda,2000,male,35-54 years,1,10033,"830,158,778",11021,Boomers
Antigua and Barbuda,2000,female,15-24 years,0,6616,"830,158,778",11021,Generation X
Antigua and Barbuda,2000,female,25-34 years,0,8595,"830,158,778",11021,Generation X
Antigua and Barbuda,2000,female,35-54 years,0,11040,"830,158,778",11021,Boomers
Antigua and Barbuda,2000,female,5-14 years,0,8439,"830,158,778",11021,Millenials
Antigua and Barbuda,2000,female,55-74 years,0,3986,"830,158,778",11021,Silent
Antigua and Barbuda,2000,female,75+ years,0,1413,"830,158,778",11021,G.I. Generation
Antigua and Barbuda,2000,male,15-24 years,0,5783,"830,158,778",11021,Generation X
Antigua and Barbuda,2000,male,25-34 years,0,7177,"830,158,778",11021,Generation X
Antigua and Barbuda,2000,male,5-14 years,0,7973,"830,158,778",11021,Millenials
Antigua and Barbuda,2000,male,75+ years,0,938,"830,158,778",11021,G.I. Generation
Antigua and Barbuda,2001,male,35-54 years,2,10281,"800,740,259",10468,Boomers
Antigua and Barbuda,2001,female,15-24 years,0,6902,"800,740,259",10468,Millenials
Antigua and Barbuda,2001,female,25-34 years,0,8425,"800,740,259",10468,Generation X
Antigua and Barbuda,2001,female,35-54 years,0,11402,"800,740,259",10468,Boomers
Antigua and Barbuda,2001,female,5-14 years,0,8428,"800,740,259",10468,Millenials
Antigua and Barbuda,2001,female,55-74 years,0,4037,"800,740,259",10468,Silent
Antigua and Barbuda,2001,female,75+ years,0,1487,"800,740,259",10468,Silent
Antigua and Barbuda,2001,male,15-24 years,0,6084,"800,740,259",10468,Millenials
Antigua and Barbuda,2001,male,25-34 years,0,7071,"800,740,259",10468,Generation X
Antigua and Barbuda,2001,male,5-14 years,0,7958,"800,740,259",10468,Millenials
Antigua and Barbuda,2001,male,55-74 years,0,3442,"800,740,259",10468,Silent
Antigua and Barbuda,2001,male,75+ years,0,980,"800,740,259",10468,Silent
Antigua and Barbuda,2002,female,15-24 years,0,7196,"814,615,333",10499,Millenials
Antigua and Barbuda,2002,female,25-34 years,0,8155,"814,615,333",10499,Generation X
Antigua and Barbuda,2002,female,35-54 years,0,11760,"814,615,333",10499,Boomers
Antigua and Barbuda,2002,female,5-14 years,0,8408,"814,615,333",10499,Millenials
Antigua and Barbuda,2002,female,55-74 years,0,4050,"814,615,333",10499,Silent
Antigua and Barbuda,2002,female,75+ years,0,1547,"814,615,333",10499,Silent
Antigua and Barbuda,2002,male,15-24 years,0,6416,"814,615,333",10499,Millenials
Antigua and Barbuda,2002,male,25-34 years,0,6921,"814,615,333",10499,Generation X
Antigua and Barbuda,2002,male,35-54 years,0,10604,"814,615,333",10499,Boomers
Antigua and Barbuda,2002,male,5-14 years,0,7980,"814,615,333",10499,Millenials
Antigua and Barbuda,2002,male,55-74 years,0,3527,"814,615,333",10499,Silent
Antigua and Barbuda,2002,male,75+ years,0,1024,"814,615,333",10499,Silent
Antigua and Barbuda,2003,male,55-74 years,1,3594,"855,643,111",10878,Silent
Antigua and Barbuda,2003,female,15-24 years,0,7454,"855,643,111",10878,Millenials
Antigua and Barbuda,2003,female,25-34 years,0,7831,"855,643,111",10878,Generation X
Antigua and Barbuda,2003,female,35-54 years,0,12129,"855,643,111",10878,Boomers
Antigua and Barbuda,2003,female,5-14 years,0,8423,"855,643,111",10878,Millenials
Antigua and Barbuda,2003,female,55-74 years,0,4054,"855,643,111",10878,Silent
Antigua and Barbuda,2003,female,75+ years,0,1583,"855,643,111",10878,Silent
Antigua and Barbuda,2003,male,15-24 years,0,6730,"855,643,111",10878,Millenials
Antigua and Barbuda,2003,male,25-34 years,0,6734,"855,643,111",10878,Generation X
Antigua and Barbuda,2003,male,35-54 years,0,10997,"855,643,111",10878,Boomers
Antigua and Barbuda,2003,male,5-14 years,0,8061,"855,643,111",10878,Millenials
Antigua and Barbuda,2003,male,75+ years,0,1068,"855,643,111",10878,Silent
Antigua and Barbuda,2004,male,55-74 years,1,3665,"919,577,148",11535,Silent
Antigua and Barbuda,2004,male,35-54 years,1,11406,"919,577,148",11535,Boomers
Antigua and Barbuda,2004,female,15-24 years,0,7648,"919,577,148",11535,Millenials
Antigua and Barbuda,2004,female,25-34 years,0,7531,"919,577,148",11535,Generation X
Antigua and Barbuda,2004,female,35-54 years,0,12492,"919,577,148",11535,Boomers
Antigua and Barbuda,2004,female,5-14 years,0,8488,"919,577,148",11535,Millenials
Antigua and Barbuda,2004,female,55-74 years,0,4088,"919,577,148",11535,Silent
Antigua and Barbuda,2004,female,75+ years,0,1590,"919,577,148",11535,Silent
Antigua and Barbuda,2004,male,15-24 years,0,6968,"919,577,148",11535,Millenials
Antigua and Barbuda,2004,male,25-34 years,0,6556,"919,577,148",11535,Generation X
Antigua and Barbuda,2004,male,5-14 years,0,8196,"919,577,148",11535,Millenials
Antigua and Barbuda,2004,male,75+ years,0,1094,"919,577,148",11535,Silent
Antigua and Barbuda,2005,female,15-24 years,0,7780,"1,022,191,296",12649,Millenials
Antigua and Barbuda,2005,female,25-34 years,0,7327,"1,022,191,296",12649,Generation X
Antigua and Barbuda,2005,female,35-54 years,0,12835,"1,022,191,296",12649,Boomers
Antigua and Barbuda,2005,female,5-14 years,0,8584,"1,022,191,296",12649,Millenials
Antigua and Barbuda,2005,female,55-74 years,0,4157,"1,022,191,296",12649,Silent
Antigua and Barbuda,2005,female,75+ years,0,1575,"1,022,191,296",12649,Silent
Antigua and Barbuda,2005,male,15-24 years,0,7113,"1,022,191,296",12649,Millenials
Antigua and Barbuda,2005,male,25-34 years,0,6444,"1,022,191,296",12649,Generation X
Antigua and Barbuda,2005,male,35-54 years,0,11778,"1,022,191,296",12649,Boomers
Antigua and Barbuda,2005,male,5-14 years,0,8358,"1,022,191,296",12649,Millenials
Antigua and Barbuda,2005,male,55-74 years,0,3748,"1,022,191,296",12649,Silent
Antigua and Barbuda,2005,male,75+ years,0,1110,"1,022,191,296",12649,Silent
Antigua and Barbuda,2006,female,15-24 years,0,7902,"1,157,005,444",14114,Millenials
Antigua and Barbuda,2006,female,25-34 years,0,7098,"1,157,005,444",14114,Generation X
Antigua and Barbuda,2006,female,35-54 years,0,13374,"1,157,005,444",14114,Boomers
Antigua and Barbuda,2006,female,5-14 years,0,8571,"1,157,005,444",14114,Millenials
Antigua and Barbuda,2006,female,55-74 years,0,4256,"1,157,005,444",14114,Silent
Antigua and Barbuda,2006,female,75+ years,0,1573,"1,157,005,444",14114,Silent
Antigua and Barbuda,2006,male,15-24 years,0,7239,"1,157,005,444",14114,Millenials
