Year,Race,Sex,AverageLifeExpectancy ,AgeAdjustedDeathRate
1982,White,Both Sexes,75.1,963.5
1981,White,Both Sexes,74.8,984
1980,White,Both Sexes,74.4,1012.5
1979,White,Both Sexes,74.6,986.8
1978,White,Both Sexes,74.1,1020.1
1977,White,Both Sexes,74,1027.1
1976,White,Both Sexes,73.6,1060
1975,White,Both Sexes,73.4,1069.4
1974,White,Both Sexes,72.8,1125.2
1973,White,Both Sexes,72.2,1171.5
1972,White,Both Sexes,72,1185.3
1971,White,Both Sexes,72,1183.8
1970,White,Both Sexes,71.7,1193.3
1969,White,Both Sexes,71.4,1240.2
1968,White,Both Sexes,71.1,1271.4
1967,White,Both Sexes,71.4,1246.4
1966,White,Both Sexes,71.1,1278.7
1965,White,Both Sexes,71.1,1278.3
1964,White,Both Sexes,71,1275.2
1963,White,Both Sexes,70.8,1312.5
1962,White,Both Sexes,70.9,1292.4
1961,White,Both Sexes,71,1272.2
1960,White,Both Sexes,70.6,1311.3
1959,White,Both Sexes,70.7,1291.9
1958,White,Both Sexes,70.5,1316.3
1957,White,Both Sexes,70.3,1328.7
1956,White,Both Sexes,70.5,1309
1955,White,Both Sexes,70.5,1308.3
1954,White,Both Sexes,70.5,1288.6
1953,White,Both Sexes,69.7,1354.6
1952,White,Both Sexes,69.5,1361.7
1951,White,Both Sexes,69.3,1391
1950,White,Both Sexes,69.1,1410.8
1949,White,Both Sexes,68.8,1424.3
1948,White,Both Sexes,68,1469.9
1947,White,Both Sexes,67.6,1503.5
1946,White,Both Sexes,67.5,1505
1945,White,Both Sexes,66.8,1544.3
1944,White,Both Sexes,66.2,1582.8
1943,White,Both Sexes,64.2,1665.8
1942,White,Both Sexes,67.3,1594.8
1941,White,Both Sexes,66.2,1645
1940,White,Both Sexes,64.2,1735.3
1939,White,Both Sexes,64.9,1724
1938,White,Both Sexes,65,1714.8
1937,White,Both Sexes,61.4,1829.1
1936,White,Both Sexes,59.8,1906.6
1935,White,Both Sexes,62.9,1809.9
1934,White,Both Sexes,62.4,1834
1933,White,Both Sexes,64.3,1800.5
1932,White,Both Sexes,63.2,1845.1
1931,White,Both Sexes,62.6,1832.5
1930,White,Both Sexes,61.4,1870.7
1929,White,Both Sexes,58.6,2006.8
1928,White,Both Sexes,58.4,2053
1927,White,Both Sexes,62,1925.6
1926,White,Both Sexes,58.2,2078.8
1925,White,Both Sexes,60.7,1999.1
1924,White,Both Sexes,61.4,1968.7
1923,White,Both Sexes,58.3,2087
1922,White,Both Sexes,60.4,2004.4
1921,White,Both Sexes,61.8,1914.9
1920,White,Both Sexes,54.9,2096.3
1919,White,Both Sexes,55.8,2005.6
1918,White,Both Sexes,39.8,2477.7
1917,White,Both Sexes,52,2221.5
1916,White,Both Sexes,52.5,2223.9
1915,White,Both Sexes,55.1,2139.4
1914,White,Both Sexes,54.9,2116.8
1913,White,Both Sexes,53,2176.7
1912,White,Both Sexes,53.9,2187.9
1911,White,Both Sexes,53,2221.3
1910,White,Both Sexes,50.3,2299.4
1909,White,Both Sexes,52.5,2228.5
1908,White,Both Sexes,51.5,2278.1
1907,White,Both Sexes,48.1,2470.8
1906,White,Both Sexes,49.3,2374.8
1905,White,Both Sexes,49.1,2404.1
1904,White,Both Sexes,48,2481.9
1903,White,Both Sexes,50.9,2359.8
1902,White,Both Sexes,51.9,2284.3
1901,White,Both Sexes,49.4,2456.2
1900,White,Both Sexes,47.6,2501.2
2014,White,Female,81.4,617.6
2013,White,Female,81.4,623.6
2012,White,Female,81.4,623.8
2011,White,Female,81.3,630.3
2010,White,Female,81.3,630.8
2009,White,Female,81.2,631.3
2008,White,Female,80.9,653.7
2007,White,Female,80.9,649.4
2006,White,Female,80.7,662.3
2005,White,Female,80.5,680.9
2004,White,Female,80.5,677.7
2003,White,Female,80.2,701.6
2002,White,Female,80.1,709.3
2001,White,Female,80,710.4
2000,White,Female,79.9,715.3
1999,White,Female,79.9,716.6
1998,White,Female,80,706.9
1997,White,Female,79.9,707.5
1996,White,Female,79.7,713.3
1995,White,Female,79.6,718.4
1994,White,Female,79.6,717.3
1993,White,Female,79.5,723.9
1992,White,Female,79.8,703.9
1991,White,Female,79.6,715.9
1990,White,Female,79.4,728.3
1989,White,Female,79.2,738.3
1988,White,Female,78.9,758.7
1987,White,Female,78.9,753.2
1986,White,Female,78.8,758
1985,White,Female,78.7,764.2
1984,White,Female,78.7,760.5
1983,White,Female,78.7,764.1
1982,White,Female,78.7,758.6
1981,White,Female,78.4,773.6
1980,White,Female,78.1,796
1979,White,Female,78.4,770.1
1978,White,Female,78,796.6
1977,White,Female,77.9,799.7
1976,White,Female,77.5,828.9
1975,White,Female,77.3,834.1
1974,White,Female,76.7,884.2
1973,White,Female,76.1,921.4
1972,White,Female,75.9,932.9
1971,White,Female,75.8,933.4
1970,White,Female,75.6,944
1969,White,Female,75.3,984.2
1968,White,Female,75,1012.2
1967,White,Female,75.2,992.9
1966,White,Female,74.8,1024.7
1965,White,Female,74.8,1026.7
1964,White,Female,74.7,1030.9
1963,White,Female,74.4,1062.6
1962,White,Female,74.5,1052.6
1961,White,Female,74.6,1038.8
1960,White,Female,74.1,1074.4
1959,White,Female,74.2,1065.3
1958,White,Female,73.9,1090.8
1957,White,Female,73.7,1104.1
1956,White,Female,73.9,1089.9
1955,White,Female,73.7,1095.4
1954,White,Female,73.7,1081.8
1953,White,Female,73,1141
1952,White,Female,72.6,1153.3
1951,White,Female,72.4,1179.1
1950,White,Female,72.2,1198
1949,White,Female,71.9,1217.3
1948,White,Female,71,1263.7
1947,White,Female,70.5,1301.6
1946,White,Female,70.3,1315.2
1945,White,Female,69.5,1344.7
1944,White,Female,68.4,1391.1
1943,White,Female,65.7,1469.1
1942,White,Female,69.4,1403.6
1941,White,Female,68.5,1453.2
1940,White,Female,66.6,1550.4
1939,White,Female,66.6,1556.8
1938,White,Female,66.8,1549.4
1937,White,Female,63.8,1644.3
1936,White,Female,61.9,1727.4
1935,White,Female,65,1642
1934,White,Female,64.6,1668.1
1933,White,Female,66.3,1649.4
1932,White,Female,64.5,1707.3
1931,White,Female,64.7,1681.8
1930,White,Female,63.5,1726.6
1929,White,Female,60.3,1869.9
1928,White,Female,60,1920.2
1927,White,Female,63.9,1800.4
1926,White,Female,59.6,1963.8
1925,White,Female,62.4,1890.5
1924,White,Female,63.4,1860.6
1923,White,Female,59.6,1995.9
1922,White,Female,61.9,1917.7
1921,White,Female,62.9,1842.3
1920,White,Female,55.6,2025.9
1919,White,Female,57.4,1915.1
1918,White,Female,43.2,2274.9
1917,White,Female,55.3,2063.3
1916,White,Female,55.2,2078.3
1915,White,Female,57.5,2008.4
1914,White,Female,57.5,1976.1
1913,White,Female,55.7,2027.6
1912,White,Female,56.2,2045.1
1911,White,Female,54.9,2088.3
1910,White,Female,52,2154
1909,White,Female,54.2,2092.1
1908,White,Female,53.3,2141.8
1907,White,Female,50.4,2303.8
1906,White,Female,51.4,2220.8
1905,White,Female,50.6,2269
1904,White,Female,49.5,2339.7
1903,White,Female,52.5,2231.5
1902,White,Female,53.8,2146.4
1901,White,Female,51,2334.7
1900,White,Female,48.7,2394
2014,White,Male,76.7,853.4
2013,White,Male,76.7,859.2
2012,White,Male,76.7,860
2011,White,Male,76.6,870.2
2010,White,Male,76.5,878.5
2009,White,Male,76.4,880.5
2008,White,Male,76.1,907.1
2007,White,Male,76,907.1
2006,White,Male,75.8,925.8
2005,White,Male,75.5,952.9
2004,White,Male,75.5,953.2
2003,White,Male,75.1,988.8
2002,White,Male,74.9,1009
2001,White,Male,74.9,1012.1
2000,White,Male,74.7,1029.4
1999,White,Male,74.6,1040.1
1998,White,Male,74.5,1041.6
1997,White,Male,74.3,1058.7
1996,White,Male,73.9,1082.5
1995,White,Male,73.4,1107.2
1994,White,Male,73.3,1118.4
1993,White,Male,73.1,1138.7
1992,White,Male,73.2,1122.2
1991,White,Male,72.9,1142.8
1990,White,Male,72.7,1165.3
1989,White,Male,72.5,1176
1988,White,Male,72.2,1215.5
1987,White,Male,72.1,1213.1
1986,White,Male,71.9,1230.5
1985,White,Male,71.8,1249.5
1984,White,Male,71.8,1245.5
1983,White,Male,71.6,1259.8
1982,White,Male,71.5,1255.9
1981,White,Male,71.1,1282.4
1980,White,Male,70.7,1317.4
1979,White,Male,70.8,1289.5
1978,White,Male,70.4,1332.5
1977,White,Male,70.2,1343.5
1976,White,Male,69.9,1379.5
1975,White,Male,69.5,1391.1
1974,White,Male,69,1450.8
1973,White,Male,68.5,1507.2
1972,White,Male,68.3,1520.2
1971,White,Male,68.3,1514.4
1970,White,Male,68,1513.7
1969,White,Male,67.7,1570.4
1968,White,Male,67.5,1602.7
1967,White,Male,67.8,1566.9
1966,White,Male,67.5,1595.7
1965,White,Male,67.6,1589.9
1964,White,Male,67.7,1572
1963,White,Male,67.4,1614.7
1962,White,Male,67.7,1579.1
1961,White,Male,67.8,1547.3
1960,White,Male,67.4,1586
1959,White,Male,67.5,1552.1
1958,White,Male,67.4,1573.1
1957,White,Male,67.2,1581.7
1956,White,Male,67.5,1554.4
1955,White,Male,67.4,1544.7
1954,White,Male,67.5,1516.3
1953,White,Male,66.8,1589
1952,White,Male,66.6,1588.5
1951,White,Male,66.5,1621.7
1950,White,Male,66.5,1642.5
1949,White,Male,66.2,1647.8
1948,White,Male,65.5,1691.2
1947,White,Male,65.2,1718.6
1946,White,Male,65.1,1706.1
1945,White,Male,64.4,1761.6
1944,White,Male,64.5,1788
1943,White,Male,63.2,1872.9
1942,White,Male,65.9,1793.7
1941,White,Male,64.4,1844.1
1940,White,Male,62.1,1925.2
1939,White,Male,63.3,1894.4
1938,White,Male,63.2,1882.7
1937,White,Male,59.3,2016.5
1936,White,Male,58,2087
1935,White,Male,61,1979.3
1934,White,Male,60.5,2000.7
1933,White,Male,62.7,1952.2
1932,White,Male,62,1982.9
1931,White,Male,60.8,1983.6
1930,White,Male,59.7,2013.8
1929,White,Male,57.2,2141.2
1928,White,Male,57,2182.8
1927,White,Male,60.5,2048.6
1926,White,Male,57,2190.6
1925,White,Male,59.3,2104.4
1924,White,Male,59.8,2073.7
1923,White,Male,57.1,2174.2
1922,White,Male,59.1,2088.2
1921,White,Male,60.8,1986.2
1920,White,Male,54.4,2166.6
1919,White,Male,54.5,2096
1918,White,Male,37.1,2680.7
1917,White,Male,49.3,2375.9
1916,White,Male,50.2,2365.6
1915,White,Male,53.1,2267.8
1914,White,Male,52.7,2254.1
1913,White,Male,50.8,2322.1
1912,White,Male,51.9,2327.5
1911,White,Male,51.3,2350.3
1910,White,Male,48.6,2441.9
1909,White,Male,50.9,2363.8
1908,White,Male,49.9,2412.3
1907,White,Male,46,2637
1906,White,Male,47.3,2529.3
1905,White,Male,47.6,2544.7
1904,White,Male,46.6,2630.5
1903,White,Male,49.5,2494.2
1902,White,Male,50.2,2430.1
1901,White,Male,48,2582.3
1900,White,Male,46.6,2613.2
