"age","job","marital","education","default","balance","housing","loan","now","previous","poutcome","deposit"
36,"management","single","tertiary","no",2944,"no","no",8,0,"unknown",2
43,"services","married","secondary","no",0,"no","no",2,0,"unknown",1
30,"management","single","tertiary","no",264,"yes","no",2,2,"other",1
43,"blue-collar","married","primary","no",17,"yes","no",10,0,"unknown",1
38,"services","married","secondary","no",-448,"yes","no",15,0,"unknown",1
27,"admin.","single","secondary","no",592,"yes","yes",3,0,"unknown",1
42,"management","married","tertiary","no",24780,"no","no",2,0,"unknown",1
30,"self-employed","single","tertiary","no",251,"no","no",1,0,"unknown",2
46,"admin.","single","secondary","no",1693,"yes","no",1,1,"success",1
47,"management","single","tertiary","no",0,"yes","no",2,0,"unknown",1
41,"management","married","tertiary","no",0,"yes","no",1,0,"unknown",1
37,"technician","married","secondary","no",-254,"yes","yes",3,2,"failure",1
47,"management","married","secondary","no",1144,"no","yes",1,0,"unknown",1
35,"technician","single","secondary","no",538,"yes","no",2,0,"unknown",1
46,"services","married","secondary","no",0,"no","no",4,0,"unknown",1
28,"blue-collar","single","tertiary","no",727,"yes","no",4,0,"unknown",1
41,"housemaid","single","secondary","no",2184,"no","no",1,2,"failure",1
36,"management","single","tertiary","no",7606,"yes","no",1,0,"unknown",2
24,"admin.","single","tertiary","no",805,"yes","no",2,0,"unknown",1
25,"blue-collar","single","secondary","no",224,"no","yes",4,0,"unknown",1
45,"management","married","tertiary","no",7620,"yes","no",8,0,"unknown",1
26,"self-employed","single","tertiary","no",211,"no","no",3,0,"unknown",1
51,"blue-collar","married","secondary","no",279,"no","no",3,0,"unknown",1
35,"management","married","secondary","no",1160,"yes","no",3,0,"unknown",1
52,"unemployed","married","primary","no",426,"no","no",5,0,"unknown",1
49,"blue-collar","married","secondary","no",322,"no","no",2,0,"unknown",1
32,"technician","married","secondary","no",68,"yes","no",1,0,"unknown",1
21,"technician","single","secondary","no",64,"yes","no",1,0,"unknown",1
40,"admin.","married","secondary","no",67,"no","no",2,0,"unknown",1
33,"entrepreneur","married","secondary","no",-627,"yes","yes",1,0,"unknown",2
45,"technician","single","secondary","no",1196,"yes","no",6,0,"unknown",1
32,"technician","married","secondary","no",0,"yes","no",4,0,"unknown",1
31,"admin.","single","secondary","no",358,"yes","no",1,0,"unknown",1
45,"management","married","secondary","no",38,"yes","no",1,2,"failure",1
43,"technician","married","secondary","no",246,"no","no",6,0,"unknown",1
33,"blue-collar","married","primary","no",1309,"yes","no",1,0,"unknown",1
58,"admin.","married","secondary","no",310,"yes","yes",1,0,"unknown",1
41,"technician","married","secondary","no",-832,"no","no",5,0,"unknown",1
50,"management","married","tertiary","no",135,"no","no",4,0,"unknown",1
39,"management","married","tertiary","no",2271,"yes","no",2,0,"unknown",1
36,"management","single","tertiary","no",247,"no","no",5,0,"unknown",1
60,"retired","divorced","secondary","no",1382,"no","no",10,0,"unknown",1
32,"admin.","married","secondary","no",0,"yes","no",1,0,"unknown",1
22,"student","single","secondary","no",381,"no","no",1,0,"unknown",2
52,"technician","married","tertiary","no",3440,"yes","no",1,1,"failure",1
41,"admin.","married","secondary","no",1380,"yes","no",1,1,"failure",1
39,"management","single","tertiary","no",202,"yes","no",1,1,"other",1
38,"blue-collar","married","secondary","no",648,"yes","no",1,0,"unknown",1
36,"blue-collar","divorced","primary","no",3202,"yes","no",2,0,"unknown",1
33,"technician","married","secondary","no",946,"yes","no",2,0,"unknown",1
62,"management","married","tertiary","no",10373,"no","no",3,3,"failure",1
64,"retired","married","secondary","no",1612,"no","no",1,4,"failure",1
30,"management","single","tertiary","no",358,"yes","no",51,0,"unknown",1
27,"admin.","single","secondary","no",181,"yes","no",2,0,"unknown",1
44,"management","divorced","tertiary","no",2237,"yes","no",2,0,"unknown",1
33,"management","married","tertiary","no",403,"yes","no",2,0,"unknown",1
34,"student","single","tertiary","no",873,"yes","no",2,0,"unknown",1
31,"blue-collar","single","secondary","no",-806,"yes","yes",3,0,"unknown",1
59,"retired","married","secondary","no",26,"no","no",3,0,"unknown",1
59,"management","married","secondary","no",1021,"no","no",2,0,"unknown",1
44,"management","married","tertiary","no",226,"yes","no",3,0,"unknown",1
43,"admin.","married","secondary","no",506,"no","no",1,0,"unknown",1
39,"services","divorced","secondary","no",-185,"yes","no",3,0,"unknown",1
44,"blue-collar","married","tertiary","no",2185,"yes","no",1,0,"unknown",1
39,"services","divorced","secondary","no",0,"yes","no",2,0,"unknown",2
33,"management","married","secondary","no",-285,"yes","no",3,0,"unknown",1
48,"technician","married","secondary","no",1939,"yes","yes",2,0,"unknown",1
33,"blue-collar","married","tertiary","no",6138,"yes","no",1,0,"unknown",1
37,"management","married","tertiary","no",-70,"yes","no",2,0,"unknown",1
42,"unknown","married","secondary","no",703,"yes","no",1,0,"unknown",1
30,"unemployed","divorced","tertiary","no",1718,"yes","no",4,2,"failure",1
49,"blue-collar","married","secondary","no",298,"yes","no",3,0,"unknown",1
38,"management","single","tertiary","no",455,"yes","no",2,6,"success",2
51,"blue-collar","married","primary","no",354,"yes","no",2,1,"other",1
66,"retired","married","primary","no",8,"no","no",2,0,"unknown",1
36,"admin.","married","secondary","no",2278,"yes","no",3,1,"failure",1
32,"technician","married","secondary","no",84,"no","yes",3,0,"unknown",1
41,"blue-collar","single","secondary","no",428,"yes","no",1,0,"unknown",1
54,"blue-collar","married","secondary","no",506,"yes","no",2,0,"unknown",1
37,"services","married","secondary","no",3,"yes","no",6,0,"unknown",1
60,"blue-collar","married","secondary","no",0,"no","no",2,0,"unknown",1
34,"services","married","secondary","no",-68,"yes","no",1,0,"unknown",1
29,"admin.","married","secondary","no",688,"yes","no",1,0,"unknown",1
32,"blue-collar","single","secondary","no",338,"yes","no",3,0,"unknown",1
45,"technician","single","secondary","no",819,"no","yes",1,0,"unknown",1
35,"management","single","tertiary","no",1750,"yes","no",3,0,"unknown",2
41,"services","married","secondary","no",0,"yes","no",1,0,"unknown",1
50,"blue-collar","divorced","secondary","no",41,"yes","no",1,0,"unknown",1
30,"blue-collar","divorced","primary","no",-242,"no","yes",2,0,"unknown",1
37,"services","married","secondary","no",4430,"yes","no",1,0,"unknown",1
32,"self-employed","single","tertiary","no",-359,"yes","no",3,0,"unknown",1
60,"retired","married","tertiary","no",0,"no","no",3,0,"unknown",1
28,"management","single","tertiary","no",1335,"no","yes",1,0,"unknown",1
