"","App","Category","Rating","Reviews","Installs","Type","Price","Content.Rating","log_Installs","paid"
"8537","DL Calculator","SPORTS",4.5,1450,"10000","Free",0,"Everyone",9.21034037197618,0
"8565","DM Tuning","SPORTS",3.3,4870,"5000","Free",0,"Everyone",8.51719319141624,0
"8575","Basketball Dynasty Manager 16","SPORTS",4.4,3781,"5000","Paid",1.99,"Everyone",8.51719319141624,1
"8673","Dude Perfect","SPORTS",4.5,5927,"10000","Free",0,"Everyone",9.21034037197618,0
"8750","Monster Fishing 2018","SPORTS",4.4,3096,"1000000","Free",0,"Everyone",13.8155105579643,0
"8848","Draft Simulator for FUT 18","SPORTS",4.6,1250,"5000000","Free",0,"Everyone",15.4249484703984,0
"8864","Soccer Manager 2018","SPORTS",4.4,4861,"1000000","Free",0,"Everyone",13.8155105579643,0
"8865","Online Soccer Manager (OSM)","SPORTS",4.5,695,"10000000","Free",0,"Everyone",16.1180956509583,0
"8868","DT Simple Interval Timer","SPORTS",4.1,3,"1000","Free",0,"Everyone",6.90775527898214,0
"8879","PES CLUB MANAGER","SPORTS",4.4,5390,"10000000","Free",0,"Everyone",16.1180956509583,0
"8885","""i DT"" Fútbol. Todos Somos Técnicos.","SPORTS",NA,2561,"500","Free",0,"Everyone",6.21460809842219,0
"8886","MasterDT","SPORTS",NA,2231,"100","Free",0,"Everyone",4.60517018598809,0
"8887","Top Soccer Manager","SPORTS",4.4,1741,"10000000","Free",0,"Everyone",16.1180956509583,0
"8890","Soccer Board Tactics","SPORTS",4.1,4795,"100000","Free",0,"Everyone",11.5129254649702,0
"8917","Portes du Soleil","SPORTS",3.1,4209,"50000","Free",0,"Everyone",10.8197782844103,0
"8947","WiFi Action Camera","SPORTS",2.4,4465,"100000","Free",0,"Everyone",11.5129254649702,0
"9027","PORTABLE SOCCER DX","SPORTS",4.4,4470,"5000","Paid",1,"Everyone",8.51719319141624,1
"9034","PORTABLE SOCCER DX Lite","SPORTS",4.2,1036,"1000000","Free",0,"Everyone",13.8155105579643,0
"9046","Active Soccer 2 DX","SPORTS",3.6,2655,"500","Paid",2.99,"Everyone",6.21460809842219,1
"9141","EA SPORTS UFC®","SPORTS",4.5,2201,"50000000","Free",0,"Teen",17.7275335633924,0
"9142","NBA LIVE Mobile Basketball","SPORTS",4.4,1333,"50000000","Free",0,"Everyone",17.7275335633924,0
"9146","EA SPORTS™ FIFA 18 Companion","SPORTS",3.9,2681,"10000000","Free",0,"Everyone",16.1180956509583,0
"9165","FIFA 16 Soccer","SPORTS",4.1,5521,"10000000","Free",0,"Everyone",16.1180956509583,0
"9172","MLB Perfect Inning 2018","SPORTS",4.2,3793,"1000000","Free",0,"Everyone",13.8155105579643,0
"9175","Real Football","SPORTS",4.1,4616,"10000000","Free",0,"Everyone",16.1180956509583,0
"9184","EB-TV","SPORTS",NA,4686,"1000","Free",0,"Everyone",6.90775527898214,0
"9216","Paraglider Dashboard","SPORTS",4.6,4453,"50000","Free",0,"Everyone",10.8197782844103,0
"9237","EC-HRV test","SPORTS",3,5743,"1000","Free",0,"Everyone",6.90775527898214,0
"9248","EC SPORTS","SPORTS",5,2,"10","Free",0,"Everyone",2.30258509299405,0
"9258","EC Games Datecs","SPORTS",NA,5302,"10000","Free",0,"Everyone",9.21034037197618,0
"9313","E.F.JUVENTUD MADRID","SPORTS",NA,2855,"100","Free",0,"Everyone",4.60517018598809,0
"9376","Fit the Fat 2","SPORTS",3.8,3316,"5000000","Free",0,"Everyone",15.4249484703984,0
"9425","Esporte Interativo - Notícias e Resultados Ao Vivo","SPORTS",4.4,3989,"500000","Free",0,"Everyone",13.1223633774043,0
"9437","Esporte Interativo Plus","SPORTS",3.7,2579,"1000000","Free",0,"Everyone",13.8155105579643,0
"9450","EJ Elite Prospects League","SPORTS",3.3,2855,"1000","Free",0,"Everyone",6.90775527898214,0
"9477","Booking Revolution","SPORTS",4.2,857,"5000000","Free",0,"Teen",15.4249484703984,0
"9565","Real Madrid App","SPORTS",4.6,1221,"5000000","Free",0,"Everyone",15.4249484703984,0
"9595","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5776,"5000000","Free",0,"Everyone",15.4249484703984,0
"9604","Yahoo Fantasy Sports - #1 Rated Fantasy App","SPORTS",4.2,2641,"5000000","Free",0,"Mature 17+",15.4249484703984,0
"9609","Yoong: Kick 'Em Up!","SPORTS",4.3,5143,"100000","Free",0,"Everyone",11.5129254649702,0
"9614","LocaToWeb - Live GPS tracking","SPORTS",4.6,1747,"1000","Paid",2.49,"Everyone",6.90775527898214,1
"9619","Telemundo Deportes - En Vivo","SPORTS",4.5,3350,"1000000","Free",0,"Everyone",13.8155105579643,0
"9641","Univision Deportes: Liga MX, MLS, Fútbol En Vivo","SPORTS",4.2,5284,"5000000","Free",0,"Everyone",15.4249484703984,0
"9932","SK Bosnia Online EU Teplice","SPORTS",NA,1745,"5","Free",0,"Everyone",1.6094379124341,0
"10100","EY Football","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10122","Beach Volleyball 3D","SPORTS",4.2,3826,"5000000","Free",0,"Everyone",15.4249484703984,0
"10167","FA Player Essentials","SPORTS",5,5095,"100","Free",0,"Everyone",4.60517018598809,0
"10177","Hertfordshire FA","SPORTS",NA,1,"500","Free",0,"Everyone",6.21460809842219,0
"10179","Premier League - Official App","SPORTS",4.3,4862,"5000000","Free",0,"Everyone",15.4249484703984,0
"10189","ESPN Fantasy Sports","SPORTS",4,1445,"5000000","Free",0,"Everyone",15.4249484703984,0
"10195","Soccer 2018","SPORTS",3.5,1385,"10000000","Free",0,"Everyone",16.1180956509583,0
"10239","Barca News - app for Barcelona FC Fans","SPORTS",4.5,1833,"10000","Free",0,"Everyone",9.21034037197618,0
"10240","FC Barcelona Fantasy Manager: Real football mobile","SPORTS",4.4,1067,"1000000","Free",0,"Everyone",13.8155105579643,0
"10242","FC Barcelona Official Keyboard","SPORTS",4.7,4329,"500000","Free",0,"Everyone",13.1223633774043,0
"10243","Barcelona Live 2018—Goals & News for Barca FC Fans","SPORTS",4.6,3201,"10000","Free",0,"Everyone",9.21034037197618,0
"10244","Barcelona News - Sportfusion","SPORTS",4.4,3485,"10000","Free",0,"Everyone",9.21034037197618,0
"10245","Barcelona Calendar","SPORTS",4.4,4983,"10000","Free",0,"Everyone",9.21034037197618,0
"10246","Barca News - FC Barcelona, World Foot & Transfers","SPORTS",4.8,1200,"10000","Free",0,"Everyone",9.21034037197618,0
"10247","FC Bayern Munich","SPORTS",4.6,3414,"1000000","Free",0,"Everyone",13.8155105579643,0
"10248","FC BARCELONA EVENTS","SPORTS",4.3,4686,"100","Free",0,"Everyone",4.60517018598809,0
"10250","Barcelona Live - Goal Score & News for Barca Fans","SPORTS",4.4,3472,"10000","Free",0,"Everyone",9.21034037197618,0
"10251","Seattle Sounders FC","SPORTS",3.3,5936,"10000","Free",0,"Everyone",9.21034037197618,0
"10253","1. FC Köln App","SPORTS",4.6,1770,"100000","Free",0,"Everyone",11.5129254649702,0
"10255","FC Porto","SPORTS",4.9,1182,"100000","Free",0,"Everyone",11.5129254649702,0
"10256","Fulham FC","SPORTS",4.3,3596,"10000","Free",0,"Everyone",9.21034037197618,0
"10259","Burnley FC","SPORTS",4.9,1694,"5000","Free",0,"Everyone",8.51719319141624,0
"10260","Atlanta United FC","SPORTS",3.7,1939,"10000","Free",0,"Everyone",9.21034037197618,0
"10262","Sydney FC Official App","SPORTS",4.6,4555,"5000","Free",0,"Everyone",8.51719319141624,0
"10263","Birmingham City FC","SPORTS",4.5,1647,"10000","Free",0,"Everyone",9.21034037197618,0
"10265","My AEK - Official ΑΕΚ FC app","SPORTS",4.8,3139,"50000","Free",0,"Everyone",10.8197782844103,0
"10268","Toronto FC","SPORTS",3.4,919,"10000","Free",0,"Teen",9.21034037197618,0
"10269","Middlesbrough FC Official","SPORTS",4.5,1061,"10000","Free",0,"Everyone",9.21034037197618,0
"10270","The 5th Stand","SPORTS",4.8,1344,"100000","Free",0,"Everyone",11.5129254649702,0
"10272","FC Red Bull Salzburg App","SPORTS",4.5,1073,"50000","Free",0,"Everyone",10.8197782844103,0
"10273","FC Zenit official Android app","SPORTS",4.5,4539,"100000","Free",0,"Everyone",11.5129254649702,0
"10274","Fan App for Portsmouth FC","SPORTS",4.5,4362,"1000","Free",0,"Teen",6.90775527898214,0
"10276","Mobile FC","SPORTS",4.1,4218,"100000","Free",0,"Everyone",11.5129254649702,0
"10278","Fan App for Reading FC","SPORTS",3.6,5743,"500","Free",0,"Teen",6.21460809842219,0
"10279","Deportivo Toluca FC","SPORTS",4.7,2146,"50000","Free",0,"Everyone",10.8197782844103,0
"10280","Underdog FC","SPORTS",4.6,1956,"10000","Free",0,"Everyone",9.21034037197618,0
"10281","Las Vegas Lights FC","SPORTS",4.9,3,"500","Free",0,"Everyone",6.21460809842219,0
"10282","APOEL FC","SPORTS",4.6,5047,"10000","Free",0,"Everyone",9.21034037197618,0
"10287","Formula DRIFT","SPORTS",4.6,1332,"10000","Free",0,"Everyone",9.21034037197618,0
"10296","Sports Lite","SPORTS",4.4,1199,"1000","Free",0,"Everyone",6.90775527898214,0
"10318","LineStar for FanDuel","SPORTS",4.3,1096,"50000","Free",0,"Teen",10.8197782844103,0
"10356","Santa Fe App","SPORTS",NA,1700,"5000","Free",0,"Everyone",8.51719319141624,0
"10386","Leghe Fantagazzetta","SPORTS",4.1,5426,"1000000","Free",0,"Everyone",13.8155105579643,0
"10389","Field Goal Tournament","SPORTS",3.7,2836,"100000","Free",0,"Everyone",11.5129254649702,0
"10427","Strike! Ten Pin Bowling","SPORTS",4.2,1557,"5000000","Free",0,"Everyone",15.4249484703984,0
"10526","FK Sūduva Marijampolė","SPORTS",NA,1745,"10","Free",0,"Everyone",2.30258509299405,0
"10528","FK Željezničar","SPORTS",4.9,883,"10000","Free",0,"Everyone",9.21034037197618,0
"10529","FK Oleksandria","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10531","FK Sileks","SPORTS",NA,1,"1","Free",0,"Everyone",0,0
"10533","Qarabağ FK","SPORTS",NA,5743,"100","Free",0,"Everyone",4.60517018598809,0
"10534","FK Sloboda Tuzla","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10535","FK Jelgava","SPORTS",NA,1,"5","Free",0,"Everyone",1.6094379124341,0
"10536","FK Vojvodina","SPORTS",NA,4207,"50","Free",0,"Everyone",3.91202300542815,0
"10537","FK Liepaja","SPORTS",NA,3589,"100","Free",0,"Everyone",4.60517018598809,0
"10538","FK Teplice","SPORTS",NA,1745,"50","Free",0,"Everyone",3.91202300542815,0
"10539","FK Sarajevo","SPORTS",NA,4686,"100","Free",0,"Everyone",4.60517018598809,0
"10540","FK Vardar","SPORTS",NA,1745,"10","Free",0,"Everyone",2.30258509299405,0
"10542","FK Bregalnica Štip","SPORTS",NA,1,"1","Free",0,"Everyone",0,0
"10543","FK Mladost Lucani","SPORTS",NA,1,"5","Free",0,"Everyone",1.6094379124341,0
"10544","FK Radnicki Nis","SPORTS",NA,2,"50","Free",0,"Everyone",3.91202300542815,0
"10545","FK Dukla Prague","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10546","FK Rad","SPORTS",NA,2,"10","Free",0,"Everyone",2.30258509299405,0
"10547","FK Jablonec","SPORTS",NA,1745,"50","Free",0,"Everyone",3.91202300542815,0
"10548","FK Senica","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10549","FK Vozdovac","SPORTS",NA,2,"10","Free",0,"Everyone",2.30258509299405,0
"10551","FK Mladá Boleslav","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10552","FK Macva Sabac","SPORTS",NA,2855,"10","Free",0,"Everyone",2.30258509299405,0
"10553","FK Crvena zvezda","SPORTS",4.9,488,"10000","Free",0,"Everyone",9.21034037197618,0
"10556","FK Jonava","SPORTS",NA,2,"5","Free",0,"Everyone",1.6094379124341,0
"10558","FK Čukarički","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10559","Austria Wien FK - Fussball - Inoffizielle App","SPORTS",NA,1745,"100","Free",0,"Everyone",4.60517018598809,0
"10560","FK Železiarne Podbrezová","SPORTS",NA,1,"5","Free",0,"Everyone",1.6094379124341,0
"10561","FK Viktoria Žižkov","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10562","FK Zemun","SPORTS",NA,2855,"10","Free",0,"Everyone",2.30258509299405,0
"10563","FK Atlantas","SPORTS",1.5,1745,"5","Free",0,"Everyone",1.6094379124341,0
"10564","FK Spartak Subotica","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10565","FK Dedinje BGD","SPORTS",5,3334,"100","Free",0,"Everyone",4.60517018598809,0
"10566","FK Fotbal Třinec","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"10568","FK Utenis Utena","SPORTS",NA,1,"5","Free",0,"Everyone",1.6094379124341,0
"10569","Crazy Freekick","SPORTS",3.9,4072,"5000000","Free",0,"Everyone",15.4249484703984,0
"10571","FL SW Fishing Regulations","SPORTS",4.6,4687,"1000","Paid",1.99,"Everyone",6.90775527898214,1
"10583","FL Racing Manager 2018 Lite","SPORTS",4,741,"100000","Free",0,"Everyone",11.5129254649702,0
"10587","FL Racing Manager 2015 Pro","SPORTS",4.4,4926,"5000","Paid",0.99,"Everyone",8.51719319141624,1
"10595","FL Racing Manager 2018 Pro","SPORTS",4.3,3184,"5000","Paid",1.99,"Everyone",8.51719319141624,1
"10605","Florida State Gameday","SPORTS",4.7,1140,"50000","Free",0,"Everyone",10.8197782844103,0
"10646","Football Manager Mobile 2018","SPORTS",3.9,370,"100000","Paid",8.99,"Everyone",11.5129254649702,1
"10684","Hunting Safari 3D","SPORTS",4.2,3345,"5000000","Free",0,"Teen",15.4249484703984,0
"10724","Mobile Kick","SPORTS",4.3,301,"10000000","Free",0,"Everyone",16.1180956509583,0
"10776","FQ - Football Quiz","SPORTS",NA,2,"1","Free",0,"Everyone",0,0
